,Deaths,Cases,Total Deaths,Date,7 day average
0,0,0,0,02/29/2020,0.0
1,0,0,0,03/01/2020,0.0
2,0,0,0,03/02/2020,0.0
3,0,0,0,03/03/2020,0.0
4,0,1,0,03/04/2020,0.5
5,0,3,0,03/05/2020,0.5
6,0,1,0,03/06/2020,0.7142857142857143
7,0,2,0,03/07/2020,1.0
8,0,5,0,03/08/2020,1.7142857142857142
9,0,16,0,03/09/2020,4.0
10,0,11,0,03/10/2020,5.571428571428571
11,0,31,0,03/11/2020,9.857142857142858
12,0,96,0,03/12/2020,23.142857142857142
13,0,167,0,03/13/2020,46.857142857142854
14,1,163,1,03/14/2020,69.85714285714286
15,0,433,1,03/15/2020,131.0
16,1,740,2,03/16/2020,234.42857142857142
17,4,784,6,03/17/2020,344.85714285714283
18,6,967,12,03/18/2020,478.57142857142856
19,6,1204,18,03/19/2020,636.8571428571429
20,11,1138,29,03/20/2020,775.5714285714286
21,12,555,41,03/21/2020,831.5714285714286
22,10,755,51,03/22/2020,877.5714285714286
23,27,910,78,03/23/2020,901.8571428571429
24,23,1214,101,03/24/2020,963.2857142857143
25,36,1251,137,03/25/2020,1003.8571428571429
26,50,1377,187,03/26/2020,1028.5714285714287
27,75,1429,262,03/27/2020,1070.142857142857
28,78,862,340,03/28/2020,1114.0
29,90,1147,430,03/29/2020,1170.0
30,106,1761,536,03/30/2020,1291.5714285714287
31,126,1519,662,03/31/2020,1335.142857142857
32,135,1603,797,04/01/2020,1385.4285714285713
33,169,1635,966,04/02/2020,1422.2857142857142
34,142,1448,1108,04/03/2020,1425.0
35,162,922,1270,04/04/2020,1433.5714285714287
36,167,1151,1437,04/05/2020,1434.142857142857
37,169,1495,1606,04/06/2020,1396.142857142857
38,179,1419,1785,04/07/2020,1381.857142857143
39,173,1323,1958,04/08/2020,1341.857142857143
40,190,1372,2148,04/09/2020,1304.2857142857142
41,178,1158,2326,04/10/2020,1262.857142857143
42,160,1130,2486,04/11/2020,1292.5714285714287
43,200,701,2686,04/12/2020,1228.2857142857142
44,159,1065,2845,04/13/2020,1166.857142857143
45,152,1037,2997,04/14/2020,1112.2857142857142
46,132,883,3129,04/15/2020,1049.4285714285713
47,126,885,3255,04/16/2020,979.8571428571429
48,118,959,3373,04/17/2020,951.4285714285714
49,116,574,3489,04/18/2020,872.0
50,118,636,3607,04/19/2020,862.7142857142857
51,95,982,3702,04/20/2020,850.8571428571429
52,92,900,3794,04/21/2020,831.2857142857143
53,108,853,3902,04/22/2020,827.0
54,106,791,4008,04/23/2020,813.5714285714286
55,93,630,4101,04/24/2020,766.5714285714286
56,76,404,4177,04/25/2020,742.2857142857143
57,61,332,4238,04/26/2020,698.8571428571429
58,88,610,4326,04/27/2020,645.7142857142857
59,57,715,4383,04/28/2020,619.2857142857143
60,72,682,4455,04/29/2020,594.8571428571429
61,66,600,4521,04/30/2020,567.5714285714286
62,55,498,4576,05/01/2020,548.7142857142857
63,46,264,4622,05/02/2020,528.7142857142857
