MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood
10001,417,25,7.29,Chelsea/NoMad/West Chelsea
10002,1226,160,10.41,Chinatown/Lower East Side
10003,508,34,5.59,East Village/Gramercy/Greenwich Village
10004,38,1,6.26,Financial District
10005,77,2,5.35,Financial District
10006,36,0,5.48,Financial District
10007,69,3,4.6,TriBeCa
10009,782,69,7.5,Alphabet City/East Village/Stuyvesant Town-Cooper Village
10010,308,19,5.0,Flatiron/Gramercy/Kips Bay
10011,584,43,6.14,Chelsea
10012,189,9,5.05,Greenwich Village/SoHo
10013,302,21,5.35,Hudson Square/Little Italy/SoHo/TriBeCa
10014,357,29,5.61,Hudson Square/Meatpacking District/West Village
10016,795,49,7.26,Kips Bay/Murray Hill/NoMad
10017,157,8,5.39,East Midtown/Murray Hill
10018,242,5,7.87,Hell's Kitchen/Midtown Manhattan
10019,662,42,7.21,Hell's Kitchen/Midtown Manhattan
10021,610,64,6.63,Lenox Hill/Upper East Side
10022,377,31,6.01,East Midtown
10023,616,54,5.6,Lincoln Square
10024,791,74,6.94,Upper West Side
10025,1472,176,7.4,Manhattan Valley/Morningside Heights/Upper West Side
10026,712,47,11.14,Central Harlem (South)
10027,1129,113,10.6,Central Harlem (South)/Morningside Heights/West Harlem
10028,513,33,6.07,Upper East Side/Yorkville
10029,1934,212,13.28,East Harlem
10030,550,55,12.25,Central Harlem (North)
10031,1440,131,13.02,Hamilton Heights/West Harlem
10032,1671,174,14.23,Washington Heights (South)
10033,1452,120,14.12,Washington Heights (North)/Washington Heights (South)
10034,798,71,11.31,Inwood/Washington Heights (North)
10035,1091,134,14.97,East Harlem
10036,491,40,8.4,Hell's Kitchen/Midtown Manhattan
10037,555,62,12.79,Central Harlem (North)/East Harlem
10038,269,28,7.78,Chinatown/Financial District
10039,576,64,13.86,Central Harlem (North)/Washington Heights (South)
10040,1214,118,14.52,Washington Heights (North)
10044,252,36,11.94,Roosevelt Island
10065,344,28,5.5,Lenox Hill/Upper East Side
10069,64,2,6.03,Lincoln Square
10075,437,45,8.27,Lenox Hill/Upper East Side
10128,689,41,6.07,Upper East Side/Yorkville
10280,62,0,5.41,Battery Park City
10282,80,15,10.08,Battery Park City
10301,1275,106,16.65,Silver Lake/St. George
10302,659,32,20.74,Elm Park
10303,922,46,18.98,Graniteville/Mariner's Harbor/Port Ivory
10304,1457,182,17.63,New Dorp/Todt Hill
10305,1323,80,17.49,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze
10306,1521,82,15.44,Lighthouse Hill/Midland Beach/New Dorp/Oakwood
10307,407,15,17.01,Tottenville
10308,685,28,15.5,Great Kills
10309,894,31,16.02,Charleston/Prince's Bay/Woodrow
10310,735,33,16.21,Port Richmond/Randall Manor/West Brighton
10312,1618,59,16.29,Annadale/Rossville
10314,2795,201,17.06,Bloomfield/Freshkills Park
10451,1667,149,16.91,Concourse/Melrose
10452,2618,170,18.02,Concourse/Highbridge
10453,2586,163,18.9,Morris Heights/Mount Hope/University Heights
10454,1235,105,16.76,Mott Haven/Port Morris
10455,1396,109,17.95,Mott Haven
10456,2732,289,16.59,Claremont/Morrisania
10457,2386,186,16.91,Belmont/Claremont/Mount Hope/Tremont
10458,2287,125,17.58,Belmont/Fordham University/Kingsbridge
10459,1617,166,17.92,Charlotte Gardens/Hunts Point
10460,1803,126,18.08,Charlotte Gardens/Tremont/Van Nest/West Farms
10461,1937,138,18.09,Morris Park/Pelham Bay/Westchester Square
10462,2404,182,16.88,Parkchester/Pelham Parkway/Van Nest/Westchester Square
10463,2187,213,14.76,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil
10464,129,9,13.99,City Island
10465,1560,85,17.58,Country Club/Throgs Neck
10466,2541,168,20.19,Edenwald/Wakefield
10467,3685,317,18.9,Allerton/Norwood/Pelham Parkway/Williamsbridge
10468,2988,220,18.3,Fordham/Kingsbridge/University Heights
10469,3172,356,20.2,Allerton/Baychester/Pelham Gardens/Williamsbridge
10470,479,20,17.18,Wakefield/Woodlawn
10471,842,85,14.87,Fieldston/North Riverdale/Riverdale
10472,2148,188,20.41,Soundview
10473,2079,137,18.21,Castle Hill/Clason Point/Soundview
10474,346,21,18.4,Hunts Point
10475,1814,176,19.94,Co-op City/Edenwald
11004,613,68,13.95,Bellerose/Douglaston-Little Neck
11101,694,39,8.82,Astoria (South)/Long Island City/Sunnyside
11102,679,79,11.08,Astoria (North)
11103,621,52,9.58,Astoria (North)/Astoria (South)
11104,533,42,10.72,Sunnyside
11105,528,43,8.67,Ditmars Steinway
11106,732,53,10.94,Astoria (South)
11109,59,2,5.39,Long Island City
11201,787,95,5.85,Brooklyn Heights/DUMBO/Downtown Brooklyn
11203,2202,242,18.19,East Flatbush (North)/East Flatbush (South)
11204,2140,142,16.23,Bensonhurst/Mapleton
11205,794,50,10.15,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene
11206,1750,153,12.08,Williamsburg (South)
11207,2298,216,16.65,Cypress Hills/East New York
11208,2596,249,18.19,Cypress Hills/East New York
11209,1215,115,10.57,Bay Ridge/Fort Hamilton
11210,1809,150,16.76,Flatlands/Midwood
11211,2252,137,10.94,East Williamsburg/Williamsburg (North)/Williamsburg (South)
11212,2050,232,17.18,Ocean Hill-Brownsville
11213,1511,146,14.01,Crown Heights (East)
11214,1668,181,13.31,Bath Beach/Bensonhurst/Gravesend
11215,667,46,5.5,Gowanus/Park Slope/Windsor Terrace
11216,821,75,8.44,Bedford-Stuyvesant (West)/Crown Heights (West)
11217,670,85,8.29,Boerum Hill/Park Slope
11218,1854,137,14.07,Kensington/Windsor Terrace
11219,3217,234,16.37,Borough Park
11220,1770,166,14.09,Sunset Park
11221,1458,146,11.32,Bedford-Stuyvesant (East)/Bushwick
11222,506,32,6.43,Greenpoint
11223,1842,144,15.22,Gravesend/Homecrest
11224,1316,212,17.64,Brighton Beach/Coney Island/Seagate
11225,1238,140,12.42,Crown Heights (West)/Prospect Lefferts Gardens
11226,2487,302,15.27,Flatbush/Prospect Lefferts Gardens
11228,723,82,13.02,Bath Beach/Dyker Heights
11229,1887,151,11.61,Gerritsen Beach/Homecrest/Sheepshead Bay
11230,2511,228,15.22,Midwood
11231,452,34,6.76,Carroll Gardens/Cobble Hill/Red Hook
11232,596,42,13.45,Sunset Park
11233,1379,136,14.43,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville
11234,2360,195,16.84,Bergen Beach/Flatlands/Marine Park/Mill Basin
11235,2186,299,15.29,Brighton Beach/Manhattan Beach/Sheepshead Bay
11236,2904,298,19.37,Canarsie
11237,1078,114,12.25,Bushwick/East Williamsburg
11238,862,104,7.65,Clinton Hill/Prospect Heights
11239,551,89,16.85,East New York
11354,1350,296,12.37,Flushing/Murray Hill
11355,1517,167,12.55,Flushing/Murray Hill/Queensboro Hill
11356,608,42,16.23,College Point
11357,877,104,13.5,Whitestone
11358,621,43,10.78,Auburndale/Murray Hill
11360,336,27,10.1,Bayside (North)
11361,484,57,11.19,Bayside (North)/Bayside (South)
11362,343,36,12.32,Douglaston-Little Neck
11363,104,5,10.34,Douglaston-Little Neck
11364,485,35,10.23,Bayside (South)/Oakland Gardens
11365,907,67,13.39,Auburndale/Fresh Meadows/Pomonok/Utopia
11366,407,27,17.84,Fresh Meadows/Hillcrest
11367,1115,67,15.51,Kew Gardens Hills/Pomonok
11368,4943,443,21.38,Corona/North Corona
11369,1697,179,22.12,Airport/East Elmhurst
11370,1408,64,21.27,Jackson Heights/Rikers Island
11372,2723,257,18.52,Jackson Heights
11373,3417,295,17.83,Elmhurst
11374,1136,99,15.65,Rego Park
11375,1521,181,13.51,Forest Hills
11377,2424,195,14.42,Woodside
11378,790,74,13.67,Maspeth
11379,866,97,14.1,Middle Village
11385,2343,141,14.78,Glendale/Ridgewood
11411,716,50,21.94,Cambria Heights
11412,1301,91,20.86,St. Albans
11413,1384,102,21.1,Laurelton/Rosedale
11414,838,62,19.64,Hamilton Beach/Howard Beach/Lindenwood
11415,557,51,16.17,Kew Gardens
11416,757,55,19.84,Ozone Park
11417,925,46,18.26,Ozone Park
11418,1181,106,19.12,Richmond Hill
11419,1278,98,20.33,Richmond Hill/South Ozone Park
11420,1436,107,20.48,South Ozone Park
11421,1255,103,19.04,Woodhaven
11422,1049,67,20.31,Rosedale
11423,1131,105,21.2,Hollis/Holliswood
11426,519,34,17.86,Bellerose
11427,826,51,18.97,Bellerose/Hollis Hills/Holliswood
11428,698,54,21.44,Queens Village
11429,1011,75,20.59,Queens Village
11432,1927,254,18.65,Hillcrest/Jamaica Estates/Jamaica Hills
11433,1003,79,18.81,Jamaica
11434,2203,196,20.11,Airport/South Jamaica/Springfield Gardens/St. Albans
11435,1720,150,18.69,Briarwood/Jamaica
11436,566,46,19.46,South Jamaica/South Ozone Park
11691,2554,371,17.96,Edgemere/Far Rockaway
11692,670,93,16.76,Arverne/Edgemere
11693,345,29,17.52,Arverne/Broad Channel
11694,762,88,18.81,Belle Harbor-Neponsit/Rockaway Park
11697,111,4,8.01,Breezy Point
