,MODIFIED_ZCTA,Total COVID Cases,Total COVID Deaths,Positive test rate,Neighborhood
0,10001,448,26,6.16,Chelsea/NoMad/West Chelsea
1,10002,1343,161,7.21,Chinatown/Lower East Side
2,10003,555,36,3.26,East Village/Gramercy/Greenwich Village
3,10004,40,1,4.54,Financial District
4,10005,100,2,4.47,Financial District
5,10006,45,0,4.99,Financial District
6,10007,73,3,3.26,TriBeCa
7,10009,841,70,5.0,Alphabet City/East Village/Stuyvesant Town-Cooper Village
8,10010,347,19,3.46,Flatiron/Gramercy/Kips Bay
9,10011,639,44,4.32,Chelsea
10,10012,227,9,3.15,Greenwich Village/SoHo
11,10013,330,21,3.61,Hudson Square/Little Italy/SoHo/TriBeCa
12,10014,382,29,3.93,Hudson Square/Meatpacking District/West Village
13,10016,853,50,5.41,Kips Bay/Murray Hill/NoMad
14,10017,168,8,3.88,East Midtown/Murray Hill
15,10018,220,5,8.75,Hell's Kitchen/Midtown Manhattan
16,10019,709,42,5.19,Hell's Kitchen/Midtown Manhattan
17,10021,646,65,4.8,Lenox Hill/Upper East Side
18,10022,404,32,4.61,East Midtown
19,10023,660,53,4.02,Lincoln Square
20,10024,852,75,4.87,Upper West Side
21,10025,1569,178,5.1,Manhattan Valley/Morningside Heights/Upper West Side
22,10026,767,48,7.81,Central Harlem (South)
23,10027,1202,114,6.78,Central Harlem (South)/Morningside Heights/West Harlem
24,10028,554,34,4.45,Upper East Side/Yorkville
25,10029,2056,213,9.6,East Harlem
26,10030,580,57,8.73,Central Harlem (North)
27,10031,1550,132,9.96,Hamilton Heights/West Harlem
28,10032,1783,175,10.79,Washington Heights (South)
29,10033,1548,121,10.35,Washington Heights (North)/Washington Heights (South)
30,10034,884,72,8.73,Inwood/Washington Heights (North)
31,10035,1136,136,11.12,East Harlem
32,10036,525,40,5.95,Hell's Kitchen/Midtown Manhattan
33,10037,588,65,10.34,Central Harlem (North)/East Harlem
34,10038,312,28,5.63,Chinatown/Financial District
35,10039,623,66,10.11,Central Harlem (North)/Washington Heights (South)
36,10040,1313,119,10.78,Washington Heights (North)
37,10044,260,36,8.45,Roosevelt Island
38,10065,368,28,4.02,Lenox Hill/Upper East Side
39,10069,73,2,3.72,Lincoln Square
40,10075,452,45,5.85,Lenox Hill/Upper East Side
41,10128,729,41,4.23,Upper East Side/Yorkville
42,10280,64,0,3.35,Battery Park City
43,10282,86,15,7.02,Battery Park City
44,10301,1344,107,12.96,Silver Lake/St. George
45,10302,690,32,15.89,Elm Park
46,10303,956,47,14.68,Graniteville/Mariner's Harbor/Port Ivory
47,10304,1549,183,13.75,New Dorp/Todt Hill
48,10305,1384,81,13.89,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze
49,10306,1596,83,11.78,Lighthouse Hill/Midland Beach/New Dorp/Oakwood
50,10307,421,15,13.09,Tottenville
51,10308,723,28,11.6,Great Kills
52,10309,932,32,12.3,Charleston/Prince's Bay/Woodrow
53,10310,777,33,12.74,Port Richmond/Randall Manor/West Brighton
54,10312,1694,59,12.27,Annadale/Rossville
55,10314,2939,202,13.14,Bloomfield/Freshkills Park
56,10451,1764,152,13.1,Concourse/Melrose
57,10452,2801,177,13.89,Concourse/Highbridge
58,10453,2764,168,14.41,Morris Heights/Mount Hope/University Heights
59,10454,1295,106,13.5,Mott Haven/Port Morris
60,10455,1486,112,13.82,Mott Haven
61,10456,2885,295,12.89,Claremont/Morrisania
62,10457,2522,189,13.33,Belmont/Claremont/Mount Hope/Tremont
63,10458,2450,126,13.37,Belmont/Fordham University/Kingsbridge
64,10459,1700,166,13.2,Charlotte Gardens/Hunts Point
65,10460,1916,128,13.65,Charlotte Gardens/Tremont/Van Nest/West Farms
66,10461,2007,141,13.99,Morris Park/Pelham Bay/Westchester Square
67,10462,2545,183,13.15,Parkchester/Pelham Parkway/Van Nest/Westchester Square
68,10463,2302,216,11.39,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil
69,10464,135,9,11.46,City Island
70,10465,1617,89,13.63,Country Club/Throgs Neck
71,10466,2638,170,15.55,Edenwald/Wakefield
72,10467,3863,331,14.27,Allerton/Norwood/Pelham Parkway/Williamsbridge
73,10468,3162,224,14.52,Fordham/Kingsbridge/University Heights
74,10469,3269,366,15.99,Allerton/Baychester/Pelham Gardens/Williamsbridge
75,10470,501,21,14.39,Wakefield/Woodlawn
76,10471,870,87,11.25,Fieldston/North Riverdale/Riverdale
77,10472,2244,191,15.04,Soundview
78,10473,2187,139,14.08,Castle Hill/Clason Point/Soundview
79,10474,356,21,13.08,Hunts Point
80,10475,1874,177,14.99,Co-op City/Edenwald
81,11004,636,68,11.16,Bellerose/Douglaston-Little Neck
82,11101,755,39,6.3,Astoria (South)/Long Island City/Sunnyside
83,11102,727,81,8.21,Astoria (North)
84,11103,675,54,6.92,Astoria (North)/Astoria (South)
85,11104,568,42,8.2,Sunnyside
86,11105,568,43,6.29,Ditmars Steinway
87,11106,785,55,8.08,Astoria (South)
88,11109,64,2,3.88,Long Island City
89,11201,841,95,4.18,Brooklyn Heights/DUMBO/Downtown Brooklyn
90,11203,2276,243,14.07,East Flatbush (North)/East Flatbush (South)
91,11204,2303,146,14.48,Bensonhurst/Mapleton
92,11205,836,50,7.59,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene
93,11206,1841,153,8.64,Williamsburg (South)
94,11207,2407,216,12.03,Cypress Hills/East New York
95,11208,2745,250,13.78,Cypress Hills/East New York
96,11209,1321,116,8.13,Bay Ridge/Fort Hamilton
97,11210,1909,150,13.55,Flatlands/Midwood
98,11211,2376,137,8.3,East Williamsburg/Williamsburg (North)/Williamsburg (South)
99,11212,2133,235,13.07,Ocean Hill-Brownsville
100,11213,1598,149,10.75,Crown Heights (East)
101,11214,1789,186,10.35,Bath Beach/Bensonhurst/Gravesend
102,11215,712,46,3.83,Gowanus/Park Slope/Windsor Terrace
103,11216,874,76,6.02,Bedford-Stuyvesant (West)/Crown Heights (West)
104,11217,709,86,5.53,Boerum Hill/Park Slope
105,11218,1937,138,11.03,Kensington/Windsor Terrace
106,11219,3367,238,15.7,Borough Park
107,11220,2011,168,10.28,Sunset Park
108,11221,1583,148,8.13,Bedford-Stuyvesant (East)/Bushwick
109,11222,548,34,4.67,Greenpoint
110,11223,1961,144,12.27,Gravesend/Homecrest
111,11224,1397,217,12.65,Brighton Beach/Coney Island/Seagate
112,11225,1297,140,9.18,Crown Heights (West)/Prospect Lefferts Gardens
113,11226,2588,302,11.35,Flatbush/Prospect Lefferts Gardens
114,11228,785,82,9.44,Bath Beach/Dyker Heights
115,11229,2006,153,12.23,Gerritsen Beach/Homecrest/Sheepshead Bay
116,11230,2689,229,12.32,Midwood
117,11231,479,34,4.71,Carroll Gardens/Cobble Hill/Red Hook
118,11232,647,42,9.41,Sunset Park
119,11233,1451,138,10.22,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville
120,11234,2498,195,12.92,Bergen Beach/Flatlands/Marine Park/Mill Basin
121,11235,2334,302,13.28,Brighton Beach/Manhattan Beach/Sheepshead Bay
122,11236,3025,300,14.77,Canarsie
123,11237,1149,115,9.12,Bushwick/East Williamsburg
124,11238,916,105,5.39,Clinton Hill/Prospect Heights
125,11239,580,89,15.41,East New York
126,11354,1461,300,10.08,Flushing/Murray Hill
127,11355,1599,169,9.72,Flushing/Murray Hill/Queensboro Hill
128,11356,650,42,12.7,College Point
129,11357,929,107,10.47,Whitestone
130,11358,640,43,7.99,Auburndale/Murray Hill
131,11360,350,28,7.97,Bayside (North)
132,11361,506,58,8.36,Bayside (North)/Bayside (South)
133,11362,357,36,9.07,Douglaston-Little Neck
134,11363,110,5,7.5,Douglaston-Little Neck
135,11364,514,35,7.44,Bayside (South)/Oakland Gardens
136,11365,960,67,10.14,Auburndale/Fresh Meadows/Pomonok/Utopia
137,11366,427,28,14.07,Fresh Meadows/Hillcrest
138,11367,1175,67,12.02,Kew Gardens Hills/Pomonok
139,11368,5116,446,17.33,Corona/North Corona
140,11369,1737,181,16.39,Airport/East Elmhurst
141,11370,1448,64,16.14,Jackson Heights/Rikers Island
142,11372,2832,260,14.78,Jackson Heights
143,11373,3534,297,14.13,Elmhurst
144,11374,1209,99,12.0,Rego Park
145,11375,1629,184,10.02,Forest Hills
146,11377,2506,195,10.79,Woodside
147,11378,828,74,10.21,Maspeth
148,11379,897,100,10.59,Middle Village
149,11385,2463,143,11.04,Glendale/Ridgewood
150,11411,730,50,17.11,Cambria Heights
151,11412,1329,92,15.91,St. Albans
152,11413,1422,103,16.04,Laurelton/Rosedale
153,11414,877,63,14.73,Hamilton Beach/Howard Beach/Lindenwood
154,11415,582,53,11.94,Kew Gardens
155,11416,793,56,14.87,Ozone Park
156,11417,957,47,13.73,Ozone Park
157,11418,1214,107,15.39,Richmond Hill
158,11419,1332,98,15.65,Richmond Hill/South Ozone Park
159,11420,1507,107,16.44,South Ozone Park
160,11421,1320,103,15.2,Woodhaven
161,11422,1086,67,15.9,Rosedale
162,11423,1177,106,16.05,Hollis/Holliswood
163,11426,540,34,13.87,Bellerose
164,11427,847,51,14.9,Bellerose/Hollis Hills/Holliswood
165,11428,718,54,17.16,Queens Village
166,11429,1037,75,15.85,Queens Village
167,11432,2025,256,15.16,Hillcrest/Jamaica Estates/Jamaica Hills
168,11433,1049,80,14.23,Jamaica
169,11434,2270,199,15.61,Airport/South Jamaica/Springfield Gardens/St. Albans
170,11435,1792,150,15.04,Briarwood/Jamaica
171,11436,585,46,15.17,South Jamaica/South Ozone Park
172,11691,2728,374,14.86,Edgemere/Far Rockaway
173,11692,702,93,13.34,Arverne/Edgemere
174,11693,350,29,13.41,Arverne/Broad Channel
175,11694,792,90,14.75,Belle Harbor-Neponsit/Rockaway Park
176,11697,116,4,7.25,Breezy Point
