,Unnamed: 0,Deaths,Cases,Total Deaths,Date,7 day average
0,0,0,0,0,02/29/2020,0.0
1,1,0,0,0,03/01/2020,0.0
2,2,0,0,0,03/02/2020,0.0
3,3,0,0,0,03/03/2020,0.0
4,4,0,1,0,03/04/2020,0.5
5,5,0,3,0,03/05/2020,0.5
6,6,0,1,0,03/06/2020,0.7142857142857143
7,7,0,2,0,03/07/2020,1.0
8,8,0,5,0,03/08/2020,1.7142857142857142
9,9,0,16,0,03/09/2020,4.0
10,10,0,11,0,03/10/2020,5.571428571428571
11,11,0,31,0,03/11/2020,9.857142857142858
12,12,0,96,0,03/12/2020,23.142857142857146
13,13,0,167,0,03/13/2020,46.85714285714285
14,14,1,163,1,03/14/2020,69.85714285714286
15,15,0,433,1,03/15/2020,131.0
16,16,1,740,2,03/16/2020,234.42857142857144
17,17,4,785,6,03/17/2020,345.0
18,18,6,967,12,03/18/2020,478.71428571428567
19,19,6,1203,18,03/19/2020,636.8571428571429
20,20,11,1138,29,03/20/2020,775.5714285714287
21,21,12,555,41,03/21/2020,831.5714285714287
22,22,10,755,51,03/22/2020,877.5714285714287
23,23,27,909,78,03/23/2020,901.7142857142856
24,24,23,1214,101,03/24/2020,963.0
25,25,36,1248,137,03/25/2020,1003.1428571428572
26,26,50,1377,187,03/26/2020,1028.0
27,27,75,1430,262,03/27/2020,1069.7142857142858
28,28,78,862,340,03/28/2020,1113.5714285714287
29,29,90,1147,430,03/29/2020,1169.5714285714287
30,30,106,1759,536,03/30/2020,1291.0
31,31,126,1519,662,03/31/2020,1334.5714285714287
32,32,135,1607,797,04/01/2020,1385.857142857143
33,33,168,1640,965,04/02/2020,1423.428571428571
34,34,141,1448,1106,04/03/2020,1426.0
35,35,162,922,1268,04/04/2020,1434.571428571429
36,36,167,1151,1435,04/05/2020,1435.142857142857
37,37,169,1498,1604,04/06/2020,1397.857142857143
38,38,179,1421,1783,04/07/2020,1383.857142857143
39,39,173,1324,1956,04/08/2020,1343.4285714285713
40,40,190,1373,2146,04/09/2020,1305.2857142857142
41,41,178,1158,2324,04/10/2020,1263.857142857143
42,42,160,1130,2484,04/11/2020,1293.5714285714287
43,43,200,701,2684,04/12/2020,1229.2857142857142
44,44,158,1065,2842,04/13/2020,1167.4285714285713
45,45,152,1037,2994,04/14/2020,1112.5714285714287
46,46,131,883,3125,04/15/2020,1049.5714285714287
47,47,126,885,3251,04/16/2020,979.8571428571428
48,48,118,959,3369,04/17/2020,951.4285714285713
49,49,116,574,3485,04/18/2020,872.0
50,50,118,636,3603,04/19/2020,862.7142857142858
51,51,95,982,3698,04/20/2020,850.8571428571429
52,52,91,900,3789,04/21/2020,831.2857142857142
53,53,108,853,3897,04/22/2020,827.0
54,54,106,791,4003,04/23/2020,813.5714285714287
55,55,93,630,4096,04/24/2020,766.5714285714287
56,56,76,404,4172,04/25/2020,742.2857142857142
57,57,61,332,4233,04/26/2020,698.8571428571429
58,58,88,610,4321,04/27/2020,645.7142857142858
59,59,57,715,4378,04/28/2020,619.2857142857142
60,60,72,682,4450,04/29/2020,594.8571428571429
61,61,66,600,4516,04/30/2020,567.5714285714286
62,62,55,498,4571,05/01/2020,548.7142857142857
63,63,46,264,4617,05/02/2020,528.7142857142857
64,64,46,248,4663,05/03/2020,516.7142857142857
65,65,42,462,4705,05/04/2020,495.57142857142856
66,66,49,434,4754,05/05/2020,455.4285714285714
67,67,38,452,4792,05/06/2020,422.57142857142856
68,68,45,402,4837,05/07/2020,394.28571428571433
69,69,43,344,4880,05/08/2020,372.28571428571433
70,70,28,119,4908,05/09/2020,351.57142857142856
71,71,26,188,4934,05/10/2020,343.0
72,72,32,410,4966,05/11/2020,335.57142857142856
73,73,33,400,4999,05/12/2020,330.7142857142857
74,74,23,363,5022,05/13/2020,318.0
75,75,14,332,5036,05/14/2020,308.0
76,76,26,259,5062,05/15/2020,295.85714285714283
77,77,24,165,5086,05/16/2020,302.42857142857144
78,78,19,137,5105,05/17/2020,295.14285714285717
79,79,16,268,5121,05/18/2020,274.85714285714283
80,80,16,329,5137,05/19/2020,264.7142857142857
81,81,21,333,5158,05/20/2020,260.42857142857144
82,82,15,345,5173,05/21/2020,262.2857142857143
83,83,15,385,5188,05/22/2020,280.2857142857143
84,84,20,160,5208,05/23/2020,279.57142857142856
85,85,12,178,5220,05/24/2020,285.42857142857144
86,86,14,175,5234,05/25/2020,272.14285714285717
87,87,11,338,5245,05/26/2020,273.42857142857144
88,88,11,253,5256,05/27/2020,262.0
89,89,12,227,5268,05/28/2020,245.14285714285717
90,90,16,173,5284,05/29/2020,214.85714285714286
91,91,11,112,5295,05/30/2020,208.0
92,92,11,88,5306,05/31/2020,195.14285714285717
93,93,10,253,5316,06/01/2020,206.28571428571428
94,94,6,191,5322,06/02/2020,185.28571428571428
95,95,13,136,5335,06/03/2020,168.57142857142858
96,96,10,133,5345,06/04/2020,155.14285714285714
97,97,6,132,5351,06/05/2020,149.28571428571428
98,98,10,59,5361,06/06/2020,141.71428571428572
99,99,6,53,5367,06/07/2020,136.71428571428572
100,100,13,112,5380,06/08/2020,116.57142857142857
101,101,6,124,5386,06/09/2020,107.0
102,102,11,98,5397,06/10/2020,101.57142857142857
103,103,4,115,5401,06/11/2020,99.0
104,104,6,122,5407,06/12/2020,97.57142857142857
105,105,4,52,5411,06/13/2020,96.57142857142857
106,106,7,53,5418,06/14/2020,96.57142857142857
107,107,4,102,5422,06/15/2020,95.14285714285714
108,108,5,132,5427,06/16/2020,96.28571428571428
109,109,7,111,5434,06/17/2020,98.14285714285714
110,110,4,113,5438,06/18/2020,97.85714285714286
111,111,3,90,5441,06/19/2020,93.28571428571428
112,112,4,46,5445,06/20/2020,92.42857142857143
113,113,6,52,5451,06/21/2020,92.28571428571428
114,114,7,110,5458,06/22/2020,93.42857142857143
115,115,9,96,5467,06/23/2020,88.2857142857143
116,116,11,101,5478,06/24/2020,86.85714285714286
117,117,5,82,5483,06/25/2020,82.42857142857143
118,118,3,94,5486,06/26/2020,83.0
119,119,11,69,5497,06/27/2020,86.2857142857143
120,120,1,58,5498,06/28/2020,87.14285714285714
121,121,5,127,5503,06/29/2020,89.57142857142857
122,122,5,133,5508,06/30/2020,94.85714285714286
123,123,5,120,5513,07/01/2020,97.57142857142857
124,124,4,130,5517,07/02/2020,104.42857142857143
125,125,6,72,5523,07/03/2020,101.28571428571428
126,126,6,23,5529,07/04/2020,94.71428571428572
127,127,5,54,5534,07/05/2020,94.14285714285714
128,128,4,143,5538,07/06/2020,96.42857142857143
129,129,4,123,5542,07/07/2020,95.0
130,130,5,122,5547,07/08/2020,95.28571428571428
131,131,4,105,5551,07/09/2020,91.71428571428572
132,132,3,91,5554,07/10/2020,94.42857142857143
133,133,2,73,5556,07/11/2020,101.57142857142857
134,134,4,56,5560,07/12/2020,101.85714285714286
135,135,2,123,5562,07/13/2020,99.0
136,136,4,110,5566,07/14/2020,97.14285714285714
137,137,2,150,5568,07/15/2020,101.14285714285714
138,138,3,91,5571,07/16/2020,99.14285714285714
139,139,0,103,5571,07/17/2020,100.85714285714286
140,140,5,58,5576,07/18/2020,98.71428571428572
141,141,3,39,5579,07/19/2020,96.28571428571428
142,142,4,85,5583,07/20/2020,90.85714285714286
143,143,5,79,5588,07/21/2020,86.42857142857143
144,144,1,95,5589,07/22/2020,78.57142857142857
145,145,5,84,5594,07/23/2020,77.57142857142857
146,146,2,67,5596,07/24/2020,72.42857142857143
147,147,2,35,5598,07/25/2020,69.14285714285714
148,148,4,40,5602,07/26/2020,69.28571428571429
149,149,2,84,5604,07/27/2020,69.14285714285714
150,150,1,105,5605,07/28/2020,72.85714285714286
151,151,1,72,5606,07/29/2020,69.57142857142857
152,152,2,95,5608,07/30/2020,71.14285714285714
153,153,1,80,5609,07/31/2020,73.0
154,154,3,55,5612,08/01/2020,75.85714285714286
155,155,2,40,5614,08/02/2020,75.85714285714286
156,156,0,95,5614,08/03/2020,77.42857142857143
157,157,2,49,5616,08/04/2020,69.42857142857143
158,158,0,97,5616,08/05/2020,73.0
159,159,2,84,5618,08/06/2020,71.42857142857143
160,160,0,94,5618,08/07/2020,73.42857142857143
161,161,1,55,5619,08/08/2020,73.42857142857143
162,162,0,48,5619,08/09/2020,74.57142857142857
163,163,1,74,5620,08/10/2020,71.57142857142857
164,164,1,83,5621,08/11/2020,76.42857142857143
165,165,0,114,5621,08/12/2020,78.85714285714286
166,166,2,81,5623,08/13/2020,78.42857142857143
167,167,1,78,5624,08/14/2020,76.14285714285714
168,168,2,33,5626,08/15/2020,73.0
169,169,1,48,5627,08/16/2020,73.0
170,170,1,94,5628,08/17/2020,75.85714285714286
171,171,0,64,5628,08/18/2020,73.14285714285714
172,172,1,72,5629,08/19/2020,67.14285714285714
173,173,3,54,5632,08/20/2020,63.28571428571429
174,174,0,74,5632,08/21/2020,62.714285714285715
175,175,2,36,5634,08/22/2020,63.14285714285714
176,176,0,56,5634,08/23/2020,64.28571428571429
177,177,1,86,5635,08/24/2020,63.14285714285714
178,178,2,83,5637,08/25/2020,65.85714285714286
179,179,1,112,5638,08/26/2020,71.57142857142857
180,180,0,89,5638,08/27/2020,76.57142857142857
181,181,1,80,5639,08/28/2020,77.42857142857143
