DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
2/29/20,0,4,0
3/1/20,0,0,0
3/2/20,0,4,0
3/3/20,0,5,0
3/4/20,1,5,0
3/5/20,3,5,0
3/6/20,1,3,0
3/7/20,2,6,0
3/8/20,5,9,0
3/9/20,16,15,0
3/10/20,11,13,0
3/11/20,31,15,0
3/12/20,96,30,0
3/13/20,166,39,0
3/14/20,164,38,1
3/15/20,433,44,0
3/16/20,741,87,1
3/17/20,785,99,4
3/18/20,970,115,6
3/19/20,1205,149,6
3/20/20,1139,187,11
3/21/20,555,171,12
3/22/20,756,183,10
3/23/20,907,278,27
3/24/20,1212,301,23
3/25/20,1235,377,36
3/26/20,1373,462,50
3/27/20,1431,414,75
3/28/20,863,372,78
3/29/20,1145,427,90
3/30/20,1759,521,106
3/31/20,1521,488,126
4/1/20,1608,472,137
4/2/20,1642,406,168
4/3/20,1448,404,141
4/4/20,921,345,163
4/5/20,1151,373,167
4/6/20,1499,468,168
4/7/20,1417,484,179
4/8/20,1323,424,172
4/9/20,1369,414,189
4/10/20,1154,341,177
4/11/20,1131,301,159
4/12/20,701,262,200
4/13/20,1064,341,158
4/14/20,1037,275,153
4/15/20,883,284,131
4/16/20,884,247,126
4/17/20,959,261,117
4/18/20,574,175,117
4/19/20,635,140,118
4/20/20,982,213,96
4/21/20,899,175,91
4/22/20,853,161,108
4/23/20,791,160,106
4/24/20,629,142,93
4/25/20,404,106,76
4/26/20,332,89,61
4/27/20,609,117,89
4/28/20,715,124,57
4/29/20,682,120,72
4/30/20,599,98,66
5/1/20,497,88,55
5/2/20,264,63,46
5/3/20,248,61,46
5/4/20,463,90,42
5/5/20,434,77,49
5/6/20,451,76,38
5/7/20,401,87,45
5/8/20,349,78,43
5/9/20,122,58,28
5/10/20,191,43,26
5/11/20,410,78,32
5/12/20,400,58,33
5/13/20,364,68,22
5/14/20,333,62,14
5/15/20,260,60,26
5/16/20,165,47,24
5/17/20,138,38,19
5/18/20,270,60,15
5/19/20,331,65,16
5/20/20,326,50,21
5/21/20,346,66,15
5/22/20,387,62,14
5/23/20,163,34,20
5/24/20,178,34,12
5/25/20,174,32,14
5/26/20,339,34,11
5/27/20,261,52,11
5/28/20,226,48,12
5/29/20,177,31,16
5/30/20,110,29,11
5/31/20,81,26,11
6/1/20,253,37,10
6/2/20,199,31,6
6/3/20,145,39,13
6/4/20,143,31,10
6/5/20,132,20,6
6/6/20,60,12,10
6/7/20,54,15,5
6/8/20,113,20,13
6/9/20,129,18,7
6/10/20,99,10,11
6/11/20,108,13,5
6/12/20,123,20,6
6/13/20,54,9,4
6/14/20,54,11,6
6/15/20,111,20,4
6/16/20,134,15,6
6/17/20,108,10,7
6/18/20,112,13,4
6/19/20,90,22,3
6/20/20,45,10,4
6/21/20,51,14,6
6/22/20,109,16,7
6/23/20,95,13,9
6/24/20,100,11,11
6/25/20,82,8,6
6/26/20,93,15,5
6/27/20,66,17,11
6/28/20,58,10,1
6/29/20,126,19,5
6/30/20,125,13,5
7/1/20,98,9,5
7/2/20,101,8,4
7/3/20,41,14,6
7/4/20,17,6,3
7/5/20,33,3,4
7/6/20,90,11,3
7/7/20,60,5,2
7/8/20,37,6,3
7/9/20,11,0,0
7/10/20,7,0,0
