,Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
0,1/22/20,0,0,0,0,0.0,0.0
1,1/23/20,0,0,0,0,0.0,0.0
2,1/24/20,0,0,0,0,0.0,0.0
3,1/25/20,0,0,0,0,0.0,0.0
4,1/26/20,0,0,0,0,0.0,0.0
5,1/27/20,0,0,0,0,0.0,0.0
6,1/28/20,0,0,0,0,0.0,0.0
7,1/29/20,0,0,0,0,0.0,0.0
8,1/30/20,0,0,0,0,0.0,0.0
9,1/31/20,0,0,0,0,0.0,0.0
10,2/1/20,0,0,0,0,0.0,0.0
11,2/2/20,0,0,0,0,0.0,0.0
12,2/3/20,0,0,0,0,0.0,0.0
13,2/4/20,0,0,0,0,0.0,0.0
14,2/5/20,0,0,0,0,0.0,0.0
15,2/6/20,0,0,0,0,0.0,0.0
16,2/7/20,0,0,0,0,0.0,0.0
17,2/8/20,0,0,0,0,0.0,0.0
18,2/9/20,0,0,0,0,0.0,0.0
19,2/10/20,0,0,0,0,0.0,0.0
20,2/11/20,0,0,0,0,0.0,0.0
21,2/12/20,0,0,0,0,0.0,0.0
22,2/13/20,0,0,0,0,0.0,0.0
23,2/14/20,0,0,0,0,0.0,0.0
24,2/15/20,0,0,0,0,0.0,0.0
25,2/16/20,0,0,0,0,0.0,0.0
26,2/17/20,0,0,0,0,0.0,0.0
27,2/18/20,0,0,0,0,0.0,0.0
28,2/19/20,0,0,0,0,0.0,0.0
29,2/20/20,0,0,0,0,0.0,0.0
30,2/21/20,0,0,0,0,0.0,0.0
31,2/22/20,0,0,0,0,0.0,0.0
32,2/23/20,0,0,0,0,0.0,0.0
33,2/24/20,0,0,0,0,0.0,0.0
34,2/25/20,0,0,0,0,0.0,0.0
35,2/26/20,0,0,0,0,0.0,0.0
36,2/27/20,0,0,0,0,0.0,0.0
37,2/28/20,0,0,0,0,0.0,0.0
38,2/29/20,0,0,0,0,0.0,0.0
39,3/1/20,0,0,0,0,0.0,0.0
40,3/2/20,0,0,0,0,0.0,0.0
41,3/3/20,0,0,0,0,0.0,0.0
42,3/4/20,0,0,0,0,0.0,0.0
43,3/5/20,0,0,0,0,0.0,0.0
44,3/6/20,0,0,0,0,0.0,0.0
45,3/7/20,0,0,0,0,0.0,0.0
46,3/8/20,0,0,0,0,0.0,0.0
47,3/9/20,0,0,0,0,0.0,0.0
48,3/10/20,0,0,0,0,0.0,0.0
49,3/11/20,0,0,0,0,0.0,0.0
50,3/12/20,0,0,0,0,0.0,0.0
51,3/13/20,0,0,0,0,0.0,0.0
52,3/14/20,0,0,0,0,0.0,0.0
53,3/15/20,0,0,0,0,0.0,0.0
54,3/16/20,0,0,0,0,0.0,0.0
55,3/17/20,0,0,0,0,0.0,0.0
56,3/18/20,0,0,0,0,0.0,0.0
57,3/19/20,0,0,0,0,0.0,0.0
58,3/20/20,0,0,0,0,0.0,0.0
59,3/21/20,0,0,0,0,0.0,0.0
60,3/22/20,2,0,2,0,0.2857142857142857,0.0
61,3/23/20,10,0,8,0,1.4285714285714286,0.0
62,3/24/20,13,0,3,0,1.8571428571428568,0.0
63,3/25/20,13,0,0,0,1.8571428571428568,0.0
64,3/26/20,13,0,0,0,1.8571428571428568,0.0
65,3/27/20,16,0,3,0,2.2857142857142856,0.0
66,3/28/20,17,0,1,0,2.4285714285714284,0.0
67,3/29/20,17,0,0,0,2.142857142857143,0.0
68,3/30/20,17,0,0,0,1.0,0.0
69,3/31/20,18,0,1,0,0.7142857142857143,0.0
70,4/1/20,18,0,0,0,0.7142857142857143,0.0
71,4/2/20,21,0,3,0,1.1428571428571428,0.0
72,4/3/20,23,0,2,0,1.0,0.0
73,4/4/20,22,0,-1,0,0.7142857142857143,0.0
74,4/5/20,29,0,7,0,1.7142857142857142,0.0
75,4/6/20,30,0,1,0,1.8571428571428568,0.0
76,4/7/20,35,0,5,0,2.4285714285714284,0.0
77,4/8/20,35,0,0,0,2.4285714285714284,0.0
78,4/9/20,39,0,4,0,2.571428571428572,0.0
79,4/10/20,44,0,5,0,3.0,0.0
80,4/11/20,44,0,0,0,3.1428571428571432,0.0
81,4/12/20,49,1,5,1,2.8571428571428568,0.14285714285714285
82,4/13/20,50,1,1,0,2.8571428571428568,0.14285714285714285
83,4/14/20,50,1,0,0,2.142857142857143,0.14285714285714285
84,4/15/20,54,1,4,0,2.7142857142857144,0.14285714285714285
85,4/16/20,54,1,0,0,2.142857142857143,0.14285714285714285
86,4/17/20,58,1,4,0,2.0,0.14285714285714285
87,4/18/20,67,1,9,0,3.2857142857142856,0.14285714285714285
88,4/19/20,69,1,2,0,2.8571428571428568,0.0
89,4/20/20,73,1,4,0,3.2857142857142856,0.0
90,4/21/20,73,1,0,0,3.2857142857142856,0.0
91,4/22/20,82,1,9,0,4.0,0.0
92,4/23/20,88,1,6,0,4.857142857142857,0.0
93,4/24/20,94,1,6,0,5.142857142857143,0.0
94,4/25/20,110,1,16,0,6.142857142857142,0.0
95,4/26/20,116,1,6,0,6.7142857142857135,0.0
96,4/27/20,126,1,10,0,7.571428571428571,0.0
97,4/28/20,129,1,3,0,8.0,0.0
98,4/29/20,130,1,1,0,6.857142857142858,0.0
99,4/30/20,144,1,14,0,8.0,0.0
100,5/1/20,147,1,3,0,7.571428571428571,0.0
101,5/2/20,153,2,6,1,6.142857142857142,0.14285714285714285
102,5/3/20,159,2,6,0,6.142857142857142,0.14285714285714285
103,5/4/20,170,2,11,0,6.2857142857142865,0.14285714285714285
104,5/5/20,173,2,3,0,6.2857142857142865,0.14285714285714285
105,5/6/20,180,2,7,0,7.142857142857142,0.14285714285714285
106,5/7/20,197,2,17,0,7.571428571428571,0.14285714285714285
107,5/8/20,206,2,9,0,8.428571428571429,0.14285714285714285
108,5/9/20,201,2,-5,0,6.857142857142858,0.0
109,5/10/20,221,2,20,0,8.857142857142858,0.0
110,5/11/20,245,2,24,0,10.714285714285714,0.0
111,5/12/20,245,2,0,0,10.285714285714286,0.0
112,5/13/20,249,2,4,0,9.857142857142858,0.0
113,5/14/20,259,2,10,0,8.857142857142858,0.0
114,5/15/20,270,2,11,0,9.142857142857142,0.0
115,5/16/20,282,2,12,0,11.571428571428573,0.0
116,5/17/20,294,2,12,0,10.428571428571429,0.0
117,5/18/20,309,2,15,0,9.142857142857142,0.0
118,5/19/20,319,2,10,0,10.571428571428571,0.0
119,5/20/20,326,2,7,0,11.0,0.0
120,5/21/20,362,2,36,0,14.714285714285715,0.0
121,5/22/20,370,2,8,0,14.285714285714285,0.0
122,5/23/20,370,2,0,0,12.571428571428573,0.0
123,5/24/20,407,2,37,0,16.142857142857142,0.0
124,5/25/20,423,2,16,0,16.285714285714285,0.0
125,5/26/20,428,2,5,0,15.571428571428573,0.0
126,5/27/20,439,2,11,0,16.142857142857142,0.0
127,5/28/20,442,2,3,0,11.428571428571427,0.0
128,5/29/20,449,3,7,1,11.285714285714285,0.14285714285714285
129,5/30/20,460,3,11,0,12.857142857142858,0.14285714285714285
130,5/31/20,466,3,6,0,8.428571428571429,0.14285714285714285
131,6/1/20,476,3,10,0,7.571428571428571,0.14285714285714285
132,6/2/20,479,3,3,0,7.2857142857142865,0.14285714285714285
133,6/3/20,488,3,9,0,7.0,0.14285714285714285
134,6/4/20,509,3,21,0,9.571428571428571,0.14285714285714285
135,6/5/20,535,3,26,0,12.285714285714285,0.0
136,6/6/20,558,3,23,0,14.0,0.0
137,6/7/20,570,3,12,0,14.857142857142858,0.0
138,6/8/20,587,3,17,0,15.857142857142858,0.0
139,6/9/20,589,3,2,0,15.714285714285715,0.0
140,6/10/20,615,3,26,0,18.142857142857142,0.0
141,6/11/20,632,5,17,2,17.571428571428573,0.2857142857142857
142,6/12/20,637,5,5,0,14.571428571428573,0.2857142857142857
143,6/13/20,645,6,8,1,12.428571428571427,0.42857142857142855
144,6/14/20,658,6,13,0,12.571428571428573,0.42857142857142855
145,6/15/20,657,6,-1,0,10.0,0.42857142857142855
146,6/16/20,659,6,2,0,10.0,0.42857142857142855
147,6/17/20,676,6,17,0,8.714285714285714,0.42857142857142855
148,6/18/20,685,6,9,0,7.571428571428571,0.14285714285714285
149,6/19/20,692,6,7,0,7.857142857142858,0.14285714285714285
150,6/20/20,700,6,8,0,7.857142857142858,0.0
151,6/21/20,718,6,18,0,8.571428571428571,0.0
152,6/22/20,734,6,16,0,11.0,0.0
153,6/23/20,740,8,6,2,11.571428571428573,0.2857142857142857
154,6/24/20,760,8,20,0,12.0,0.2857142857142857
155,6/25/20,806,8,46,0,17.285714285714285,0.2857142857142857
156,6/26/20,842,8,36,0,21.428571428571427,0.2857142857142857
157,6/27/20,868,8,26,0,24.0,0.2857142857142857
158,6/28/20,895,9,27,1,25.285714285714285,0.42857142857142855
159,6/29/20,929,9,34,0,27.857142857142854,0.42857142857142855
160,6/30/20,949,9,20,0,29.857142857142854,0.14285714285714285
161,7/1/20,957,9,8,0,28.142857142857146,0.14285714285714285
162,7/2/20,999,9,42,0,27.57142857142857,0.14285714285714285
163,7/3/20,1039,10,40,1,28.142857142857146,0.2857142857142857
164,7/4/20,1094,10,55,0,32.285714285714285,0.2857142857142857
165,7/5/20,1128,10,34,0,33.285714285714285,0.14285714285714285
166,7/6/20,1211,10,83,0,40.285714285714285,0.14285714285714285
167,7/7/20,1233,10,22,0,40.57142857142857,0.14285714285714285
168,7/8/20,1285,11,52,1,46.85714285714285,0.2857142857142857
169,7/9/20,1306,11,21,0,43.85714285714285,0.2857142857142857
170,7/10/20,1350,11,44,0,44.42857142857143,0.14285714285714285
171,7/11/20,1378,11,28,0,40.57142857142857,0.14285714285714285
172,7/12/20,1404,11,26,0,39.42857142857143,0.14285714285714285
173,7/13/20,1487,11,83,0,39.42857142857143,0.14285714285714285
174,7/14/20,1536,11,49,0,43.28571428571429,0.14285714285714285
175,7/15/20,1571,12,35,1,40.857142857142854,0.14285714285714285
176,7/16/20,1610,12,39,0,43.42857142857143,0.14285714285714285
177,7/17/20,1645,12,35,0,42.142857142857146,0.14285714285714285
178,7/18/20,1688,13,43,1,44.28571428571429,0.2857142857142857
179,7/19/20,1717,13,29,0,44.714285714285715,0.2857142857142857
180,7/20/20,1737,14,20,1,35.714285714285715,0.42857142857142855
181,7/21/20,1786,14,49,0,35.714285714285715,0.42857142857142855
182,7/22/20,1838,14,52,0,38.142857142857146,0.2857142857142857
183,7/23/20,1864,15,26,1,36.285714285714285,0.42857142857142855
184,7/24/20,1906,16,42,1,37.285714285714285,0.5714285714285714
185,7/25/20,1968,16,62,0,40.0,0.42857142857142855
186,7/26/20,1990,16,22,0,39.0,0.42857142857142855
187,7/27/20,2064,17,74,1,46.714285714285715,0.42857142857142855
188,7/28/20,2082,19,18,2,42.285714285714285,0.7142857142857143
189,7/29/20,2118,19,36,0,40.0,0.7142857142857143
190,7/30/20,2139,19,21,0,39.285714285714285,0.5714285714285714
191,7/31/20,2171,21,32,2,37.857142857142854,0.7142857142857143
192,8/1/20,2178,23,7,2,30.0,1.0
193,8/2/20,2214,23,36,0,32.0,1.0
194,8/3/20,2240,24,26,1,25.142857142857146,1.0
195,8/4/20,2272,24,32,0,27.142857142857146,0.7142857142857143
196,8/5/20,2315,27,43,3,28.142857142857146,1.1428571428571428
197,8/6/20,2348,27,33,0,29.857142857142854,1.1428571428571428
198,8/7/20,2398,30,50,3,32.42857142857143,1.2857142857142858
199,8/8/20,2417,30,19,0,34.142857142857146,1.0
200,8/9/20,2447,30,30,0,33.285714285714285,1.0
201,8/10/20,2466,31,19,1,32.285714285714285,1.0
202,8/11/20,2517,31,51,0,35.0,1.0
203,8/12/20,2554,31,37,0,34.142857142857146,0.5714285714285714
204,8/13/20,2572,31,18,0,32.0,0.5714285714285714
205,8/14/20,2602,32,30,1,29.142857142857146,0.2857142857142857
