date,Total COVID Cases,New COVID cases in one day,deaths,new deaths
2020-03-04,4,0,0,0
2020-03-05,5,1,0,0
2020-03-06,5,0,0,0
2020-03-07,6,1,0,0
2020-03-08,6,0,0,0
2020-03-09,7,1,0,0
2020-03-10,19,12,0,0
2020-03-11,19,0,0,0
2020-03-12,25,6,0,0
2020-03-13,32,7,0,0
2020-03-14,46,14,0,0
2020-03-15,64,18,0,0
2020-03-16,93,29,0,0
2020-03-17,159,66,1,1
2020-03-18,288,129,1,0
2020-03-19,422,134,4,3
2020-03-20,585,163,5,1
2020-03-21,753,168,6,1
2020-03-22,1049,296,9,3
2020-03-23,1273,224,12,3
2020-03-24,1535,262,16,4
2020-03-25,1865,330,19,3
2020-03-26,2538,673,26,7
2020-03-27,3026,488,34,8
2020-03-28,3491,465,47,13
2020-03-29,4596,1105,65,18
2020-03-30,5057,461,73,8
2020-03-31,5994,937,99,26
2020-04-01,6980,986,141,42
2020-04-02,7695,715,157,16
2020-04-03,8904,1209,210,53
2020-04-04,10357,1453,243,33
2020-04-05,11256,899,274,31
2020-04-06,12262,1006,307,33
2020-04-07,13549,1287,380,73
2020-04-08,15078,1529,462,82
2020-04-09,16422,1344,528,66
2020-04-10,17887,1465,596,68
2020-04-11,19180,1293,677,81
2020-04-12,20852,1672,720,43
2020-04-13,22025,1173,794,74
2020-04-14,23247,1222,868,74
2020-04-15,24593,1346,948,80
2020-04-16,25733,1140,1072,124
2020-04-17,27575,1842,1134,62
2020-04-18,29160,1585,1259,125
2020-04-19,30357,1197,1290,31
2020-04-20,31508,1151,1349,59
2020-04-21,33059,1551,1468,119
2020-04-22,35108,2049,1565,97
2020-04-23,36934,1826,1688,123
2020-04-24,39658,2724,1795,107
2020-04-25,41777,2119,1874,79
2020-04-26,43903,2126,1933,59
2020-04-27,45883,1980,1983,50
2020-04-28,48102,2219,2125,142
2020-04-29,50355,2253,2215,90
2020-04-30,52918,2563,2355,140
2020-05-01,56055,3137,2457,102
2020-05-02,58505,2450,2559,102
2020-05-03,61499,2994,2618,59
2020-05-04,63840,2341,2662,44
2020-05-05,65962,2122,2838,176
2020-05-06,68232,2270,2974,136
2020-05-07,70873,2641,3111,137
2020-05-08,73760,2887,3241,130
2020-05-09,76085,2325,3349,108
2020-05-10,77741,1656,3406,57
2020-05-11,79007,1266,3459,53
2020-05-12,83021,4014,3601,142
2020-05-13,84698,1677,3792,191
2020-05-14,87937,3239,3928,136
2020-05-15,90369,2432,4058,130
2020-05-16,92457,2088,4129,71
2020-05-17,94191,1734,4177,48
2020-05-18,96485,2294,4234,57
2020-05-19,98030,1545,4379,145
2020-05-20,100418,2388,4525,146
2020-05-21,102686,2268,4607,82
2020-05-22,105444,2758,4715,108
2020-05-23,107796,2352,4790,75
2020-05-24,110304,2508,4856,66
2020-05-25,112017,1713,4884,28
2020-05-26,113195,1178,4923,39
2020-05-27,114306,1111,5083,160
2020-05-28,115833,1527,5186,103
2020-05-29,117455,1622,5270,84
2020-05-30,118917,1462,5330,60
2020-05-31,120260,1343,5390,60
2020-06-01,121234,974,5412,22
2020-06-02,122848,1614,5525,113
2020-06-03,123830,982,5621,96
2020-06-04,124759,929,5736,115
2020-06-05,125915,1156,5795,59
2020-06-06,126890,975,5864,69
2020-06-07,127757,867,5904,40
2020-06-08,129139,1382,6102,198
2020-06-09,129936,797,6196,94
2020-06-10,130561,625,6273,77
2020-06-11,131327,766,6363,90
2020-06-12,132059,732,6441,78
2020-06-13,132732,673,6470,29
2020-06-14,133404,672,6489,19
2020-06-15,133877,473,6507,18
2020-06-16,134500,623,6579,72
2020-06-17,135046,546,6666,87
2020-06-18,135639,593,6718,52
2020-06-19,136470,831,6718,0
2020-06-20,137104,634,6829,111
2020-06-21,137762,658,6851,22
2020-06-22,138224,462,6875,24
2020-06-23,138825,601,6911,36
2020-06-24,139540,715,6974,63
2020-06-25,140434,894,7014,40
2020-06-26,141344,910,7048,34
2020-06-27,142130,786,7074,26
2020-06-28,142776,646,7089,15
2020-06-29,143514,738,7103,14
2020-06-30,144238,724,7124,21
2020-07-01,145066,828,7152,28
2020-07-02,145935,869,7188,36
2020-07-03,146872,937,7215,27
2020-07-04,147734,862,7224,9
2020-07-05,148373,639,7230,6
2020-07-06,148987,614,7236,6
2020-07-07,149574,587,7273,37
2020-07-08,150554,980,7309,36
2020-07-09,151572,1018,7329,20
2020-07-10,152899,1327,7345,16
2020-07-11,154094,1195,7369,24
2020-07-12,155048,954,7388,19
2020-07-13,155931,883,7394,6
2020-07-14,156638,707,7419,25
2020-07-15,157825,1187,7427,8
2020-07-16,159082,1257,7452,25
2020-07-17,160509,1427,7465,13
2020-07-18,161785,1276,7483,18
2020-07-19,162750,965,7488,5
2020-07-20,163923,1173,7494,6
2020-07-21,164878,955,7517,23
2020-07-22,166476,1598,7540,23
2020-07-23,168100,1624,7560,20
2020-07-24,169699,1599,7577,17
2020-07-25,171125,1426,7589,12
