,Available,COVID,Other
2020-07-10T00:00:00.000,87,37,199
2020-07-09T00:00:00.000,81,33,209
2020-07-08T00:00:00.000,79,31,213
2020-07-07T00:00:00.000,80,28,215
2020-07-06T00:00:00.000,96,24,203
2020-07-05T00:00:00.000,98,28,197
2020-07-04T00:00:00.000,103,26,194
2020-07-03T00:00:00.000,89,29,205
2020-07-02T00:00:00.000,98,28,197
2020-07-01T00:00:00.000,92,30,201
2020-06-30T00:00:00.000,95,33,195
2020-06-29T00:00:00.000,96,31,196
2020-06-28T00:00:00.000,94,27,202
2020-06-27T00:00:00.000,89,27,207
2020-06-26T00:00:00.000,72,24,227
2020-06-25T00:00:00.000,72,24,227
2020-06-24T00:00:00.000,78,21,224
2020-06-23T00:00:00.000,93,20,210
2020-06-22T00:00:00.000,134,18,171
2020-06-21T00:00:00.000,139,15,169
2020-06-20T00:00:00.000,131,12,180
2020-06-19T00:00:00.000,126,15,182
2020-06-18T00:00:00.000,141,12,170
2020-06-17T00:00:00.000,138,10,175
2020-06-16T00:00:00.000,108,11,160
2020-06-15T00:00:00.000,102,8,169
2020-06-14T00:00:00.000,112,8,159
2020-06-13T00:00:00.000,109,12,158
2020-06-12T00:00:00.000,98,13,168
2020-06-11T00:00:00.000,87,15,177
2020-06-10T00:00:00.000,90,14,175
2020-06-09T00:00:00.000,102,13,164
2020-06-08T00:00:00.000,112,15,152
2020-06-07T00:00:00.000,119,14,146
2020-06-06T00:00:00.000,114,15,150
2020-06-05T00:00:00.000,90,19,170
2020-06-04T00:00:00.000,85,22,172
2020-06-03T00:00:00.000,83,21,175
2020-06-02T00:00:00.000,79,23,177
2020-06-01T00:00:00.000,87,24,168
2020-05-31T00:00:00.000,84,22,173
2020-05-30T00:00:00.000,79,27,173
2020-05-29T00:00:00.000,81,24,174
2020-05-28T00:00:00.000,92,27,160
2020-05-27T00:00:00.000,77,29,173
2020-05-26T00:00:00.000,76,38,165
2020-05-25T00:00:00.000,95,35,149
2020-05-24T00:00:00.000,97,27,155
2020-05-23T00:00:00.000,99,31,149
2020-05-22T00:00:00.000,86,26,167
2020-05-21T00:00:00.000,84,31,164
2020-05-20T00:00:00.000,95,31,153
2020-05-19T00:00:00.000,107,28,144
2020-05-18T00:00:00.000,109,22,148
2020-05-17T00:00:00.000,104,28,147
2020-05-16T00:00:00.000,96,24,159
2020-05-15T00:00:00.000,97,25,157
2020-05-14T00:00:00.000,92,29,158
2020-05-13T00:00:00.000,112,29,138
2020-05-12T00:00:00.000,106,31,142
2020-05-11T00:00:00.000,110,30,139
2020-05-10T00:00:00.000,108,33,138
2020-05-09T00:00:00.000,95,31,153
2020-05-08T00:00:00.000,88,33,158
2020-05-07T00:00:00.000,90,31,158
2020-05-06T00:00:00.000,106,31,142
2020-05-05T00:00:00.000,110,35,134
2020-05-04T00:00:00.000,115,27,137
2020-05-03T00:00:00.000,114,28,137
2020-05-02T00:00:00.000,102,33,144
2020-05-01T00:00:00.000,99,35,145
2020-04-30T00:00:00.000,109,32,138
2020-04-29T00:00:00.000,107,33,139
2020-04-28T00:00:00.000,110,35,134
2020-04-27T00:00:00.000,162,35,82
2020-04-26T00:00:00.000,158,31,90
2020-04-25T00:00:00.000,143,35,101
2020-04-24T00:00:00.000,143,33,103
2020-04-23T00:00:00.000,155,34,90
2020-04-22T00:00:00.000,133,39,107
2020-04-21T00:00:00.000,125,31,123
2020-04-20T00:00:00.000,131,30,118
2020-04-19T00:00:00.000,147,34,98
2020-04-18T00:00:00.000,150,36,93
2020-04-17T00:00:00.000,143,35,101
2020-04-16T00:00:00.000,144,37,98
2020-04-15T00:00:00.000,133,37,109
2020-04-14T00:00:00.000,147,32,100
2020-04-13T00:00:00.000,142,33,104
2020-04-12T00:00:00.000,134,40,105
2020-04-11T00:00:00.000,141,38,100
2020-04-10T00:00:00.000,134,42,103
2020-04-09T00:00:00.000,110,44,125
2020-04-08T00:00:00.000,118,47,114
2020-04-07T00:00:00.000,121,45,113
2020-04-06T00:00:00.000,114,45,120
2020-04-05T00:00:00.000,136,44,99
2020-04-04T00:00:00.000,146,51,82
2020-04-03T00:00:00.000,147,41,91
2020-04-02T00:00:00.000,129,43,107
2020-04-01T00:00:00.000,125,50,104
