,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
0,2020-03-03T00:00:00.000,Confirmed,Community,2,2020-09-24T14:20:21.067
1,2020-03-05T00:00:00.000,Confirmed,Community,1,2020-09-24T14:20:21.067
2,2020-03-05T00:00:00.000,Confirmed,From Contact,5,2020-09-24T14:20:21.067
3,2020-03-07T00:00:00.000,Confirmed,From Contact,5,2020-09-24T14:20:21.067
4,2020-03-08T00:00:00.000,Confirmed,From Contact,1,2020-09-24T14:20:21.067
5,2020-03-10T00:00:00.000,Confirmed,Community,4,2020-09-24T14:20:21.067
6,2020-03-10T00:00:00.000,Confirmed,From Contact,2,2020-09-24T14:20:21.067
7,2020-03-11T00:00:00.000,Confirmed,Community,5,2020-09-24T14:20:21.067
8,2020-03-11T00:00:00.000,Confirmed,From Contact,4,2020-09-24T14:20:21.067
9,2020-03-12T00:00:00.000,Confirmed,Community,6,2020-09-24T14:20:21.067
10,2020-03-13T00:00:00.000,Confirmed,Community,12,2020-09-24T14:20:21.067
11,2020-03-13T00:00:00.000,Confirmed,From Contact,3,2020-09-24T14:20:21.067
12,2020-03-14T00:00:00.000,Confirmed,Community,10,2020-09-24T14:20:21.067
13,2020-03-15T00:00:00.000,Confirmed,Community,9,2020-09-24T14:20:21.067
14,2020-03-15T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
15,2020-03-15T00:00:00.000,Confirmed,From Contact,1,2020-09-24T14:20:21.067
16,2020-03-16T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
17,2020-03-16T00:00:00.000,Confirmed,From Contact,9,2020-09-24T14:20:21.067
18,2020-03-16T00:00:00.000,Confirmed,Community,31,2020-09-24T14:20:21.067
19,2020-03-17T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
20,2020-03-17T00:00:00.000,Confirmed,Community,19,2020-09-24T14:20:21.067
21,2020-03-17T00:00:00.000,Confirmed,From Contact,5,2020-09-24T14:20:21.067
22,2020-03-17T00:00:00.000,Confirmed,Unknown,2,2020-09-24T14:20:21.067
23,2020-03-18T00:00:00.000,Confirmed,From Contact,6,2020-09-24T14:20:21.067
24,2020-03-18T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
25,2020-03-18T00:00:00.000,Confirmed,Community,14,2020-09-24T14:20:21.067
26,2020-03-19T00:00:00.000,Confirmed,Community,16,2020-09-24T14:20:21.067
27,2020-03-19T00:00:00.000,Confirmed,From Contact,3,2020-09-24T14:20:21.067
28,2020-03-20T00:00:00.000,Confirmed,Community,30,2020-09-24T14:20:21.067
29,2020-03-20T00:00:00.000,Confirmed,From Contact,5,2020-09-24T14:20:21.067
30,2020-03-20T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
31,2020-03-21T00:00:00.000,Confirmed,From Contact,2,2020-09-24T14:20:21.067
32,2020-03-21T00:00:00.000,Confirmed,Community,15,2020-09-24T14:20:21.067
33,2020-03-22T00:00:00.000,Confirmed,From Contact,3,2020-09-24T14:20:21.067
34,2020-03-22T00:00:00.000,Confirmed,Community,21,2020-09-24T14:20:21.067
35,2020-03-23T00:00:00.000,Confirmed,Community,26,2020-09-24T14:20:21.067
36,2020-03-23T00:00:00.000,Confirmed,From Contact,4,2020-09-24T14:20:21.067
37,2020-03-23T00:00:00.000,Confirmed,Unknown,3,2020-09-24T14:20:21.067
38,2020-03-24T00:00:00.000,Confirmed,Unknown,2,2020-09-24T14:20:21.067
39,2020-03-24T00:00:00.000,Confirmed,From Contact,7,2020-09-24T14:20:21.067
40,2020-03-24T00:00:00.000,Confirmed,Community,32,2020-09-24T14:20:21.067
41,2020-03-24T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
42,2020-03-25T00:00:00.000,Confirmed,Unknown,5,2020-09-24T14:20:21.067
43,2020-03-25T00:00:00.000,Confirmed,Community,34,2020-09-24T14:20:21.067
44,2020-03-25T00:00:00.000,Confirmed,From Contact,4,2020-09-24T14:20:21.067
45,2020-03-26T00:00:00.000,Death,Community,2,2020-09-24T14:20:21.067
46,2020-03-26T00:00:00.000,Confirmed,Unknown,6,2020-09-24T14:20:21.067
47,2020-03-26T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
48,2020-03-26T00:00:00.000,Confirmed,From Contact,6,2020-09-24T14:20:21.067
