specimen_collection_date,Case Count,7 day average,Data Reliability
2020-03-03,2,0.0,More reliable
2020-03-05,7,0.0,More reliable
2020-03-07,5,0.0,More reliable
2020-03-08,1,0.0,More reliable
2020-03-10,6,0.0,More reliable
2020-03-11,9,0.0,More reliable
2020-03-12,6,5.142857142857143,More reliable
2020-03-13,15,7.0,More reliable
2020-03-14,10,7.428571428571429,More reliable
2020-03-15,11,8.285714285714286,More reliable
2020-03-16,41,14.0,More reliable
2020-03-17,27,17.0,More reliable
2020-03-18,21,18.714285714285715,More reliable
2020-03-19,19,20.571428571428573,More reliable
2020-03-20,36,23.571428571428573,More reliable
2020-03-21,17,24.571428571428573,More reliable
2020-03-22,24,26.428571428571427,More reliable
2020-03-23,33,25.285714285714285,More reliable
2020-03-24,42,27.428571428571427,More reliable
2020-03-25,42,30.428571428571427,More reliable
2020-03-26,44,34.0,More reliable
2020-03-27,34,33.714285714285715,More reliable
2020-03-28,17,33.714285714285715,More reliable
2020-03-29,13,32.142857142857146,More reliable
2020-03-30,43,33.57142857142857,More reliable
2020-03-31,56,35.57142857142857,More reliable
2020-04-01,42,35.57142857142857,More reliable
2020-04-02,33,34.0,More reliable
2020-04-03,27,33.0,More reliable
2020-04-04,15,32.714285714285715,More reliable
2020-04-05,36,36.0,More reliable
2020-04-06,53,37.42857142857143,More reliable
2020-04-07,59,37.857142857142854,More reliable
2020-04-08,67,41.42857142857143,More reliable
2020-04-09,77,47.714285714285715,More reliable
2020-04-10,28,47.857142857142854,More reliable
2020-04-11,25,49.285714285714285,More reliable
2020-04-12,18,46.714285714285715,More reliable
2020-04-13,33,43.857142857142854,More reliable
2020-04-14,48,42.285714285714285,More reliable
2020-04-15,53,40.285714285714285,More reliable
2020-04-16,33,34.0,More reliable
2020-04-17,44,36.285714285714285,More reliable
2020-04-18,15,34.857142857142854,More reliable
2020-04-19,33,37.0,More reliable
2020-04-20,39,37.857142857142854,More reliable
2020-04-21,30,35.285714285714285,More reliable
2020-04-22,33,32.42857142857143,More reliable
2020-04-23,47,34.42857142857143,More reliable
2020-04-24,36,33.285714285714285,More reliable
2020-04-25,53,38.714285714285715,More reliable
2020-04-26,31,38.42857142857143,More reliable
2020-04-27,36,38.0,More reliable
2020-04-28,73,44.142857142857146,More reliable
2020-04-29,52,46.857142857142854,More reliable
2020-04-30,39,45.714285714285715,More reliable
2020-05-01,35,45.57142857142857,More reliable
2020-05-02,45,44.42857142857143,More reliable
2020-05-03,13,41.857142857142854,More reliable
2020-05-04,45,43.142857142857146,More reliable
2020-05-05,43,38.857142857142854,More reliable
2020-05-06,43,37.57142857142857,More reliable
2020-05-07,29,36.142857142857146,More reliable
2020-05-08,32,35.714285714285715,More reliable
2020-05-09,10,30.714285714285715,More reliable
2020-05-10,5,29.571428571428573,More reliable
2020-05-11,29,27.285714285714285,More reliable
2020-05-12,53,28.714285714285715,More reliable
2020-05-13,32,27.142857142857142,More reliable
2020-05-14,34,27.857142857142858,More reliable
2020-05-15,36,28.428571428571427,More reliable
2020-05-16,8,28.142857142857142,More reliable
2020-05-17,11,29.0,More reliable
2020-05-18,44,31.142857142857142,More reliable
2020-05-19,31,28.0,More reliable
2020-05-20,42,29.428571428571427,More reliable
2020-05-21,24,28.0,More reliable
2020-05-22,33,27.571428571428573,More reliable
2020-05-23,17,28.857142857142858,More reliable
2020-05-24,10,28.714285714285715,More reliable
2020-05-25,9,23.714285714285715,More reliable
2020-05-26,48,26.142857142857142,More reliable
2020-05-27,34,25.0,More reliable
2020-05-28,24,25.0,More reliable
2020-05-29,31,24.714285714285715,More reliable
2020-05-30,22,25.428571428571427,More reliable
2020-05-31,26,27.714285714285715,More reliable
2020-06-01,38,31.857142857142858,More reliable
2020-06-02,46,31.571428571428573,More reliable
2020-06-03,27,30.571428571428573,More reliable
2020-06-04,38,32.57142857142857,More reliable
2020-06-05,30,32.42857142857143,More reliable
2020-06-06,16,31.571428571428573,More reliable
2020-06-07,17,30.285714285714285,More reliable
2020-06-08,36,30.0,More reliable
2020-06-09,33,28.142857142857142,More reliable
2020-06-10,16,26.571428571428573,More reliable
2020-06-11,23,24.428571428571427,More reliable
2020-06-12,28,24.142857142857142,More reliable
2020-06-13,21,24.857142857142858,More reliable
2020-06-14,15,24.571428571428573,More reliable
2020-06-15,35,24.428571428571427,More reliable
2020-06-16,48,26.571428571428573,More reliable
2020-06-17,51,31.571428571428573,More reliable
2020-06-18,45,34.714285714285715,More reliable
2020-06-19,43,36.857142857142854,More reliable
2020-06-20,41,39.714285714285715,More reliable
2020-06-21,32,42.142857142857146,More reliable
2020-06-22,105,52.142857142857146,More reliable
2020-06-23,78,56.42857142857143,More reliable
2020-06-24,60,57.714285714285715,More reliable
2020-06-25,64,60.42857142857143,More reliable
2020-06-26,70,64.28571428571429,More reliable
2020-06-27,52,65.85714285714286,More reliable
2020-06-28,36,66.42857142857143,More reliable
2020-06-29,72,61.714285714285715,More reliable
2020-06-30,97,64.42857142857143,More reliable
2020-07-01,78,67.0,More reliable
2020-07-02,101,72.28571428571429,More reliable
2020-07-03,83,74.14285714285714,More reliable
2020-07-04,26,70.42857142857143,More reliable
2020-07-05,49,72.28571428571429,More reliable
2020-07-06,87,74.42857142857143,More reliable
2020-07-07,97,74.42857142857143,More reliable
2020-07-08,116,79.85714285714286,More reliable
2020-07-09,106,80.57142857142857,More reliable
2020-07-10,127,86.85714285714286,More reliable
2020-07-11,62,92.0,More reliable
2020-07-12,66,94.42857142857143,More reliable
2020-07-13,140,102.0,More reliable
2020-07-14,164,111.57142857142857,More reliable
2020-07-15,153,116.85714285714286,More reliable
2020-07-16,145,122.42857142857143,More reliable
2020-07-17,148,125.42857142857143,More reliable
2020-07-18,78,127.71428571428571,More reliable
2020-07-19,71,128.42857142857142,More reliable
2020-07-20,144,129.0,More reliable
2020-07-21,129,124.0,More reliable
2020-07-22,124,119.85714285714286,More reliable
2020-07-23,122,116.57142857142857,More reliable
2020-07-24,120,112.57142857142857,More reliable
2020-07-25,80,112.85714285714286,More reliable
2020-07-26,61,111.42857142857143,More reliable
2020-07-27,95,104.42857142857143,More reliable
2020-07-28,101,100.42857142857143,More reliable
2020-07-29,118,99.57142857142857,More reliable
2020-07-30,124,99.85714285714286,More reliable
2020-07-31,118,99.57142857142857,More reliable
2020-08-01,71,98.28571428571429,More reliable
2020-08-02,45,96.0,More reliable
2020-08-03,105,97.42857142857143,More reliable
2020-08-04,81,94.57142857142857,More reliable
2020-08-05,107,93.0,More reliable
2020-08-06,100,89.57142857142857,More reliable
2020-08-07,125,90.57142857142857,More reliable
2020-08-08,62,89.28571428571429,More reliable
2020-08-09,59,91.28571428571429,More reliable
2020-08-10,103,91.0,More reliable
2020-08-11,106,94.57142857142857,More reliable
2020-08-12,127,97.42857142857143,"Less reliable, likely to be updated"
2020-08-13,95,96.71428571428571,"Less reliable, likely to be updated"
2020-08-14,62,87.71428571428571,"Less reliable, likely to be updated"
2020-08-15,16,81.14285714285714,"Less reliable, likely to be updated"
