,COVID,Available,Other
2020-07-22,33,120,170
2020-07-21,34,103,186
2020-07-20,30,93,200
2020-07-19,31,83,209
2020-07-18,34,85,204
2020-07-17,33,77,213
2020-07-16,26,85,212
2020-07-15,27,95,201
2020-07-14,32,91,200
2020-07-13,30,100,193
2020-07-12,35,105,183
2020-07-11,37,90,196
2020-07-10,37,87,199
2020-07-09,33,81,209
2020-07-08,31,79,213
2020-07-07,28,80,215
2020-07-06,24,96,203
2020-07-05,28,98,197
2020-07-04,26,103,194
2020-07-03,29,89,205
2020-07-02,28,98,197
2020-07-01,30,92,201
2020-06-30,33,95,195
2020-06-29,31,96,196
2020-06-28,27,94,202
2020-06-27,27,89,207
2020-06-26,24,72,227
2020-06-25,24,72,227
2020-06-24,21,78,224
2020-06-23,20,93,210
2020-06-22,18,134,171
2020-06-21,15,139,169
2020-06-20,12,131,180
2020-06-19,15,126,182
2020-06-18,12,141,170
2020-06-17,10,138,175
2020-06-16,11,108,160
2020-06-15,8,102,169
2020-06-14,8,112,159
2020-06-13,12,109,158
2020-06-12,13,98,168
2020-06-11,15,87,177
2020-06-10,14,90,175
2020-06-09,13,102,164
2020-06-08,15,112,152
2020-06-07,14,119,146
2020-06-06,15,114,150
2020-06-05,19,90,170
2020-06-04,22,85,172
2020-06-03,21,83,175
2020-06-02,23,79,177
2020-06-01,24,87,168
2020-05-31,22,84,173
2020-05-30,27,79,173
2020-05-29,24,81,174
2020-05-28,27,92,160
2020-05-27,29,77,173
2020-05-26,38,76,165
2020-05-25,35,95,149
2020-05-24,27,97,155
2020-05-23,31,99,149
2020-05-22,26,86,167
2020-05-21,31,84,164
2020-05-20,31,95,153
2020-05-19,28,107,144
2020-05-18,22,109,148
2020-05-17,28,104,147
2020-05-16,24,96,159
2020-05-15,25,97,157
2020-05-14,29,92,158
2020-05-13,29,112,138
2020-05-12,31,106,142
2020-05-11,30,110,139
2020-05-10,33,108,138
2020-05-09,31,95,153
2020-05-08,33,88,158
2020-05-07,31,90,158
2020-05-06,31,106,142
2020-05-05,35,110,134
2020-05-04,27,115,137
2020-05-03,28,114,137
2020-05-02,33,102,144
2020-05-01,35,99,145
2020-04-30,32,109,138
2020-04-29,33,107,139
2020-04-28,35,110,134
2020-04-27,35,162,82
2020-04-26,31,158,90
2020-04-25,35,143,101
2020-04-24,33,143,103
2020-04-23,34,155,90
2020-04-22,39,133,107
2020-04-21,31,125,123
2020-04-20,30,131,118
2020-04-19,34,147,98
2020-04-18,36,150,93
2020-04-17,35,143,101
2020-04-16,37,144,98
2020-04-15,37,133,109
2020-04-14,32,147,100
2020-04-13,33,142,104
2020-04-12,40,134,105
2020-04-11,38,141,100
2020-04-10,42,134,103
2020-04-09,44,110,125
2020-04-08,47,118,114
2020-04-07,45,121,113
2020-04-06,45,114,120
2020-04-05,44,136,99
2020-04-04,51,146,82
2020-04-03,41,147,91
2020-04-02,43,129,107
2020-04-01,50,125,104
