,Region,Date,New Cases,Estimated Effective R,95% CI Low,95% CI High,one
39,San Francisco,2020-03-12,4,1.1846312307817,0.11610978580651801,2.25315267575689,1
40,San Francisco,2020-03-13,5,1.2239075403851,0.252829310324384,2.19498577044581,1
41,San Francisco,2020-03-14,5,1.2623764489598501,0.276451638301517,2.24830125961818,1
42,San Francisco,2020-03-15,6,1.2994174165639398,0.38651613376236105,2.21231869936552,1
43,San Francisco,2020-03-16,6,1.3341982166766102,0.409354287637178,2.25904214571604,1
44,San Francisco,2020-03-17,3,1.36569335620161,0.0426487002950708,2.68873801210816,1
45,San Francisco,2020-03-18,5,1.3927944323110402,0.35799623691719107,2.42759262770488,1
46,San Francisco,2020-03-19,22,1.4144470270078602,0.91736246585804,1.91153158815768,1
47,San Francisco,2020-03-20,6,1.4297463634238703,0.4728505261756021,2.38664220067214,1
48,San Francisco,2020-03-21,5,1.43803244631214,0.38683862199502506,2.48922627062926,1
49,San Francisco,2020-03-22,27,1.4390212966750902,0.9865232463843641,1.89151934696583,1
50,San Francisco,2020-03-23,23,1.43294014262072,0.9437198472125201,1.92216043802892,1
51,San Francisco,2020-03-24,18,1.42059291777338,0.869977363456953,1.97120847208981,1
52,San Francisco,2020-03-25,29,1.40330572857494,0.972157143321913,1.8344543138279599,1
53,San Francisco,2020-03-26,45,1.38278716825147,1.03921042389292,1.72636391261002,1
54,San Francisco,2020-03-27,56,1.36086889341297,1.0553275188059599,1.66641026801999,1
55,San Francisco,2020-03-28,26,1.33916904940073,0.894342825174057,1.7839952736274098,1
56,San Francisco,2020-03-29,35,1.31883008009777,0.9383584181575609,1.6993017420379901,1
57,San Francisco,2020-03-30,31,1.3004139289915402,0.898971331044004,1.70185652693907,1
58,San Francisco,2020-03-31,26,1.2839696477512499,0.848402764266745,1.71953653123575,1
59,San Francisco,2020-04-01,37,1.2691527520503798,0.906141472104925,1.63216403199583,1
60,San Francisco,2020-04-02,13,1.25536464197829,0.6462807305944979,1.86444855336207,1
61,San Francisco,2020-04-03,50,1.24187212010861,0.9329730525214571,1.55077118769577,1
62,San Francisco,2020-04-04,29,1.22790579998584,0.824588544612529,1.63122305535914,1
63,San Francisco,2020-04-05,42,1.21275777903071,0.879694722687427,1.5458208353740002,1
64,San Francisco,2020-04-06,15,1.19588531437941,0.6424517351429909,1.7493188936158401,1
65,San Francisco,2020-04-07,36,1.1770576360029399,0.8226387715905559,1.53147650041533,1
66,San Francisco,2020-04-08,57,1.15646821835516,0.8772764555391109,1.4356599811712198,1
67,San Francisco,2020-04-09,48,1.13472924639698,0.833357015865475,1.43610147692848,1
68,San Francisco,2020-04-10,73,1.11273949301083,0.870738326506948,1.35474065951471,1
69,San Francisco,2020-04-11,60,1.0914527579626199,0.827082211755136,1.3558233041701,1
70,San Francisco,2020-04-12,15,1.07167242844642,0.5477395158157361,1.5956053410771103,1
71,San Francisco,2020-04-13,85,1.05392026272721,0.8356538740863709,1.27218665136805,1
72,San Francisco,2020-04-14,30,1.03840561804286,0.6737203885683141,1.40309084751741,1
73,San Francisco,2020-04-15,26,1.02508503733201,0.635868625392818,1.4143014492712098,1
74,San Francisco,2020-04-16,6,1.01377955150349,0.208032184358888,1.81952691864808,1
75,San Francisco,2020-04-17,39,1.00435022802476,0.689783062924542,1.31891739312498,1
76,San Francisco,2020-04-18,79,0.9967874323749121,0.7765995904477621,1.21697527430206,1
77,San Francisco,2020-04-19,20,0.991166896559672,0.5547843555526171,1.4275494375667301,1
78,San Francisco,2020-04-20,59,0.987537004275485,0.73393003198392,1.24114397656705,1
79,San Francisco,2020-04-21,15,0.9858385462977719,0.483298130146753,1.48837896244879,1
80,San Francisco,2020-04-22,2,0.9859213876642329,-0.39044348196023904,2.36228625728871,1
81,San Francisco,2020-04-23,69,0.9876103985670799,0.7530885214472379,1.22213227568692,1
82,San Francisco,2020-04-24,38,0.990714458785022,0.674196435727081,1.30723248184296,1
83,San Francisco,2020-04-25,14,0.994962918116995,0.4723778502341379,1.51754798599985,1
84,San Francisco,2020-04-26,54,0.999911918981635,0.73316502851245,1.26665880945082,1
