Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
1/22,0,0,0,0,0.0,0.0
1/23,0,0,0,0,0.0,0.0
1/24,0,0,0,0,0.0,0.0
1/25,0,0,0,0,0.0,0.0
1/26,0,0,0,0,0.0,0.0
1/27,0,0,0,0,0.0,0.0
1/28,0,0,0,0,0.0,0.0
1/29,0,0,0,0,0.0,0.0
1/30,0,0,0,0,0.0,0.0
1/31,0,0,0,0,0.0,0.0
2/1,0,0,0,0,0.0,0.0
2/2,0,0,0,0,0.0,0.0
2/3,0,0,0,0,0.0,0.0
2/4,0,0,0,0,0.0,0.0
2/5,0,0,0,0,0.0,0.0
2/6,0,0,0,0,0.0,0.0
2/7,0,0,0,0,0.0,0.0
2/8,0,0,0,0,0.0,0.0
2/9,0,0,0,0,0.0,0.0
2/10,0,0,0,0,0.0,0.0
2/11,0,0,0,0,0.0,0.0
2/12,0,0,0,0,0.0,0.0
2/13,0,0,0,0,0.0,0.0
2/14,0,0,0,0,0.0,0.0
2/15,0,0,0,0,0.0,0.0
2/16,0,0,0,0,0.0,0.0
2/17,0,0,0,0,0.0,0.0
2/18,0,0,0,0,0.0,0.0
2/19,0,0,0,0,0.0,0.0
2/20,0,0,0,0,0.0,0.0
2/21,0,0,0,0,0.0,0.0
2/22,0,0,0,0,0.0,0.0
2/23,0,0,0,0,0.0,0.0
2/24,0,0,0,0,0.0,0.0
2/25,0,0,0,0,0.0,0.0
2/26,0,0,0,0,0.0,0.0
2/27,0,0,0,0,0.0,0.0
2/28,0,0,0,0,0.0,0.0
2/29,0,0,0,0,0.0,0.0
3/1,0,0,0,0,0.0,0.0
3/2,1,0,1,0,0.14285714285714285,0.0
3/3,1,0,0,0,0.14285714285714285,0.0
3/4,1,0,0,0,0.14285714285714285,0.0
3/5,1,0,0,0,0.14285714285714285,0.0
3/6,2,0,1,0,0.2857142857142857,0.0
3/7,2,0,0,0,0.2857142857142857,0.0
3/8,2,0,0,0,0.2857142857142857,0.0
3/9,7,0,5,0,0.8571428571428571,0.0
3/10,7,0,0,0,0.8571428571428571,0.0
3/11,9,0,2,0,1.1428571428571428,0.0
3/12,17,0,8,0,2.2857142857142856,0.0
3/13,22,0,5,0,2.857142857142857,0.0
3/14,32,0,10,0,4.285714285714286,0.0
3/15,33,0,1,0,4.428571428571429,0.0
3/16,39,0,6,0,4.571428571428571,0.0
3/17,62,0,23,0,7.857142857142857,0.0
3/18,104,0,42,0,13.571428571428571,0.0
3/19,152,0,48,0,19.285714285714285,0.0
3/20,208,0,56,0,26.571428571428573,0.0
3/21,287,0,79,0,36.42857142857143,0.0
3/22,325,0,38,0,41.714285714285715,0.0
3/23,423,0,98,0,54.857142857142854,0.0
3/24,544,0,121,0,68.85714285714286,0.0
3/25,661,2,117,2,79.57142857142857,0.2857142857142857
3/26,791,3,130,1,91.28571428571429,0.42857142857142855
3/27,963,4,172,1,107.85714285714286,0.5714285714285714
3/28,1105,5,142,1,116.85714285714286,0.7142857142857143
3/29,1234,7,129,2,129.85714285714286,1.0
3/30,1426,7,192,0,143.28571428571428,1.0
3/31,1578,12,152,5,147.71428571428572,1.7142857142857142
4/1,1855,14,277,2,170.57142857142858,1.7142857142857142
4/2,2093,21,238,7,186.0,2.5714285714285716
4/3,2380,27,287,6,202.42857142857142,3.2857142857142856
4/4,2635,34,255,7,218.57142857142858,4.142857142857143
4/5,2891,38,256,4,236.71428571428572,4.428571428571429
4/6,3153,45,262,7,246.71428571428572,5.428571428571429
4/7,3453,53,300,8,267.85714285714283,5.857142857142857
4/8,3700,66,247,13,263.57142857142856,7.428571428571429
4/9,3993,76,293,10,271.42857142857144,7.857142857142857
4/10,4230,83,237,7,264.2857142857143,8.0
4/11,4535,89,305,6,271.42857142857144,7.857142857142857
4/12,4839,89,304,0,278.2857142857143,7.285714285714286
4/13,5024,94,185,5,267.2857142857143,7.0
4/14,5195,112,171,18,248.85714285714286,8.428571428571429
4/15,5484,130,289,18,254.85714285714286,9.142857142857142
4/16,5877,150,393,20,269.14285714285717,10.571428571428571
4/17,6171,177,294,27,277.2857142857143,13.428571428571429
4/18,6524,187,353,10,284.14285714285717,14.0
4/19,6818,200,294,13,282.7142857142857,15.857142857142858
