Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
1/22,0,0,0,0,0.0,0.0
1/23,0,0,0,0,0.0,0.0
1/24,0,0,0,0,0.0,0.0
1/25,0,0,0,0,0.0,0.0
1/26,0,0,0,0,0.0,0.0
1/27,0,0,0,0,0.0,0.0
1/28,0,0,0,0,0.0,0.0
1/29,0,0,0,0,0.0,0.0
1/30,0,0,0,0,0.0,0.0
1/31,0,0,0,0,0.0,0.0
2/1,0,0,0,0,0.0,0.0
2/2,0,0,0,0,0.0,0.0
2/3,0,0,0,0,0.0,0.0
2/4,0,0,0,0,0.0,0.0
2/5,0,0,0,0,0.0,0.0
2/6,0,0,0,0,0.0,0.0
2/7,0,0,0,0,0.0,0.0
2/8,0,0,0,0,0.0,0.0
2/9,0,0,0,0,0.0,0.0
2/10,0,0,0,0,0.0,0.0
2/11,0,0,0,0,0.0,0.0
2/12,0,0,0,0,0.0,0.0
2/13,0,0,0,0,0.0,0.0
2/14,0,0,0,0,0.0,0.0
2/15,0,0,0,0,0.0,0.0
2/16,0,0,0,0,0.0,0.0
2/17,0,0,0,0,0.0,0.0
2/18,0,0,0,0,0.0,0.0
2/19,0,0,0,0,0.0,0.0
2/20,0,0,0,0,0.0,0.0
2/21,0,0,0,0,0.0,0.0
2/22,0,0,0,0,0.0,0.0
2/23,0,0,0,0,0.0,0.0
2/24,0,0,0,0,0.0,0.0
2/25,0,0,0,0,0.0,0.0
2/26,0,0,0,0,0.0,0.0
2/27,0,0,0,0,0.0,0.0
2/28,0,0,0,0,0.0,0.0
2/29,0,0,0,0,0.0,0.0
3/1,0,0,0,0,0.0,0.0
3/2,0,0,0,0,0.0,0.0
3/3,1,0,1,0,0.14285714285714285,0.0
3/4,1,0,0,0,0.14285714285714285,0.0
3/5,1,0,0,0,0.14285714285714285,0.0
3/6,2,0,1,0,0.2857142857142857,0.0
3/7,2,0,0,0,0.2857142857142857,0.0
3/8,2,0,0,0,0.2857142857142857,0.0
3/9,2,0,0,0,0.2857142857142857,0.0
3/10,7,0,5,0,0.8571428571428571,0.0
3/11,7,0,0,0,0.8571428571428571,0.0
3/12,15,0,8,0,2.0,0.0
3/13,17,0,2,0,2.142857142857143,0.0
3/14,25,0,8,0,3.2857142857142856,0.0
3/15,32,0,7,0,4.285714285714286,0.0
3/16,39,0,7,0,5.285714285714286,0.0
3/17,64,0,25,0,8.142857142857142,0.0
3/18,92,0,28,0,12.142857142857142,0.0
3/19,136,0,44,0,17.285714285714285,0.0
3/20,189,0,53,0,24.571428571428573,0.0
3/21,256,0,67,0,33.0,0.0
3/22,305,0,49,0,39.0,0.0
3/23,353,0,48,0,44.857142857142854,0.0
3/24,495,0,142,0,61.57142857142857,0.0
3/25,590,2,95,2,71.14285714285714,0.2857142857142857
3/26,738,3,148,1,86.0,0.42857142857142855
3/27,887,4,149,1,99.71428571428571,0.5714285714285714
3/28,1020,5,133,1,109.14285714285714,0.7142857142857143
3/29,1191,7,171,2,126.57142857142857,1.0
3/30,1313,7,122,0,137.14285714285714,1.0
3/31,1535,12,222,5,148.57142857142858,1.7142857142857142
4/1,1675,14,140,2,155.0,1.7142857142857142
4/2,1977,21,302,7,177.0,2.5714285714285716
4/3,2251,27,274,6,194.85714285714286,3.2857142857142856
4/4,2486,34,235,7,209.42857142857142,4.142857142857143
4/5,2649,38,163,4,208.28571428571428,4.428571428571429
4/6,2962,45,313,7,235.57142857142858,5.428571428571429
4/7,3299,53,337,8,252.0,5.857142857142857
4/8,3499,66,200,13,260.57142857142856,7.428571428571429
4/9,3736,76,237,10,251.28571428571428,7.857142857142857
4/10,3965,83,229,7,244.85714285714286,8.0
4/11,4354,89,389,6,266.85714285714283,7.857142857142857
4/12,4570,89,216,0,274.42857142857144,7.285714285714286
4/13,4886,94,316,5,274.85714285714283,7.0
4/14,5113,112,227,18,259.14285714285717,8.428571428571429
4/15,5340,130,227,18,263.0,9.142857142857142
4/16,5639,150,299,20,271.85714285714283,10.571428571428571
4/17,6045,177,406,27,297.14285714285717,13.428571428571429
4/18,6328,187,283,10,282.0,14.0
4/19,6601,200,273,13,290.14285714285717,15.857142857142858
4/20,6895,218,294,18,287.0,17.714285714285715
4/21,7134,245,239,27,288.7142857142857,19.0
