,Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
0,1/22,0,0,0,0,0.0,0.0
1,1/23,0,0,0,0,0.0,0.0
2,1/24,0,0,0,0,0.0,0.0
3,1/25,0,0,0,0,0.0,0.0
4,1/26,0,0,0,0,0.0,0.0
5,1/27,0,0,0,0,0.0,0.0
6,1/28,0,0,0,0,0.0,0.0
7,1/29,0,0,0,0,0.0,0.0
8,1/30,0,0,0,0,0.0,0.0
9,1/31,0,0,0,0,0.0,0.0
10,2/1,0,0,0,0,0.0,0.0
11,2/2,0,0,0,0,0.0,0.0
12,2/3,0,0,0,0,0.0,0.0
13,2/4,0,0,0,0,0.0,0.0
14,2/5,0,0,0,0,0.0,0.0
15,2/6,0,0,0,0,0.0,0.0
16,2/7,0,0,0,0,0.0,0.0
17,2/8,0,0,0,0,0.0,0.0
18,2/9,0,0,0,0,0.0,0.0
19,2/10,0,0,0,0,0.0,0.0
20,2/11,0,0,0,0,0.0,0.0
21,2/12,0,0,0,0,0.0,0.0
22,2/13,0,0,0,0,0.0,0.0
23,2/14,0,0,0,0,0.0,0.0
24,2/15,0,0,0,0,0.0,0.0
25,2/16,0,0,0,0,0.0,0.0
26,2/17,0,0,0,0,0.0,0.0
27,2/18,0,0,0,0,0.0,0.0
28,2/19,0,0,0,0,0.0,0.0
29,2/20,0,0,0,0,0.0,0.0
30,2/21,0,0,0,0,0.0,0.0
31,2/22,0,0,0,0,0.0,0.0
32,2/23,0,0,0,0,0.0,0.0
33,2/24,0,0,0,0,0.0,0.0
34,2/25,0,0,0,0,0.0,0.0
35,2/26,0,0,0,0,0.0,0.0
36,2/27,0,0,0,0,0.0,0.0
37,2/28,0,0,0,0,0.0,0.0
38,2/29,0,0,0,0,0.0,0.0
39,3/1,0,0,0,0,0.0,0.0
40,3/2,0,0,0,0,0.0,0.0
41,3/3,1,0,1,0,0.14285714285714285,0.0
42,3/4,1,0,0,0,0.14285714285714285,0.0
43,3/5,1,0,0,0,0.14285714285714285,0.0
44,3/6,2,0,1,0,0.2857142857142857,0.0
45,3/7,2,0,0,0,0.2857142857142857,0.0
46,3/8,2,0,0,0,0.2857142857142857,0.0
47,3/9,2,0,0,0,0.2857142857142857,0.0
48,3/10,7,0,5,0,0.8571428571428571,0.0
49,3/11,7,0,0,0,0.8571428571428571,0.0
50,3/12,15,0,8,0,2.0,0.0
51,3/13,17,0,2,0,2.142857142857143,0.0
52,3/14,25,0,8,0,3.2857142857142856,0.0
53,3/15,32,0,7,0,4.285714285714286,0.0
54,3/16,39,0,7,0,5.285714285714286,0.0
55,3/17,64,0,25,0,8.142857142857142,0.0
56,3/18,92,0,28,0,12.142857142857142,0.0
57,3/19,136,0,44,0,17.285714285714285,0.0
58,3/20,189,0,53,0,24.57142857142857,0.0
59,3/21,256,0,67,0,33.0,0.0
60,3/22,305,0,49,0,39.0,0.0
61,3/23,353,0,48,0,44.85714285714285,0.0
62,3/24,495,0,142,0,61.57142857142857,0.0
63,3/25,590,2,95,2,71.14285714285714,0.2857142857142857
64,3/26,738,3,148,1,86.0,0.42857142857142855
65,3/27,887,4,149,1,99.71428571428572,0.5714285714285714
66,3/28,1020,5,133,1,109.14285714285714,0.7142857142857143
67,3/29,1191,7,171,2,126.57142857142857,1.0
68,3/30,1313,7,122,0,137.14285714285714,1.0
69,3/31,1535,12,222,5,148.57142857142858,1.7142857142857142
70,4/1,1675,14,140,2,155.0,1.7142857142857142
71,4/2,1977,21,302,7,177.0,2.571428571428572
72,4/3,2251,27,274,6,194.85714285714286,3.2857142857142856
73,4/4,2486,34,235,7,209.42857142857144,4.142857142857143
74,4/5,2649,38,163,4,208.28571428571428,4.428571428571429
75,4/6,2962,45,313,7,235.57142857142856,5.428571428571429
76,4/7,3299,53,337,8,252.0,5.857142857142858
77,4/8,3499,66,200,13,260.57142857142856,7.428571428571429
78,4/9,3736,76,237,10,251.28571428571428,7.857142857142858
79,4/10,3965,83,229,7,244.85714285714286,8.0
80,4/11,4354,89,389,6,266.85714285714283,7.857142857142858
81,4/12,4570,89,216,0,274.42857142857144,7.2857142857142865
82,4/13,4886,94,316,5,274.85714285714283,7.0
83,4/14,5113,112,227,18,259.14285714285717,8.428571428571429
84,4/15,5340,130,227,18,263.0,9.142857142857142
85,4/16,5639,150,299,20,271.85714285714283,10.571428571428571
86,4/17,6045,177,406,27,297.14285714285717,13.428571428571427
87,4/18,6328,187,283,10,282.0,14.0
88,4/19,6601,200,273,13,290.14285714285717,15.857142857142858
89,4/20,6895,218,294,18,287.0,17.714285714285715
90,4/21,7134,245,239,27,288.7142857142857,19.0
91,4/22,7495,265,361,20,307.85714285714283,19.285714285714285
92,4/23,7820,281,325,16,311.57142857142856,18.714285714285715
93,4/24,8290,294,470,13,320.7142857142857,16.714285714285715
94,4/25,8768,305,478,11,348.57142857142856,16.857142857142858
95,4/26,8997,324,229,19,342.2857142857143,17.714285714285715
96,4/27,9321,340,324,16,346.57142857142856,17.428571428571427
97,4/28,9755,363,434,23,374.4285714285714,16.857142857142858
98,4/29,10180,382,425,19,383.57142857142856,16.714285714285715
99,4/30,10754,406,574,24,419.1428571428572,17.857142857142858
100,5/1,11070,419,316,13,397.1428571428572,17.857142857142858
101,5/2,11588,431,518,12,402.8571428571428,18.0
102,5/3,11770,434,182,3,396.1428571428572,15.714285714285715
103,5/4,11971,442,201,8,378.57142857142856,14.571428571428573
104,5/5,12510,472,539,30,393.57142857142856,15.571428571428573
105,5/6,13053,492,543,20,410.4285714285714,15.714285714285715
106,5/7,13540,513,487,21,398.0,15.285714285714285
107,5/8,14006,530,466,17,419.4285714285714,15.857142857142858
108,5/9,14478,551,472,21,412.8571428571428,17.142857142857142
109,5/10,14938,564,460,13,452.57142857142856,18.571428571428573
110,5/11,15274,575,336,11,471.8571428571428,19.0
111,5/12,15622,600,348,25,444.57142857142856,18.285714285714285
112,5/13,16352,625,730,25,471.28571428571433,19.0
113,5/14,16968,641,616,16,489.71428571428567,18.285714285714285
114,5/15,17494,667,526,26,498.28571428571433,19.571428571428573
115,5/16,18130,676,636,9,521.7142857142857,17.857142857142858
116,5/17,18673,686,543,10,533.5714285714286,17.428571428571427
117,5/18,19207,693,534,7,561.8571428571429,16.857142857142858
118,5/19,19239,693,32,0,516.7142857142857,13.285714285714285
119,5/20,20262,726,1023,33,558.5714285714286,14.428571428571427
120,5/21,20512,734,250,8,506.28571428571433,13.285714285714285
121,5/22,22110,775,1598,41,659.4285714285714,15.428571428571427
122,5/23,22864,778,754,3,676.2857142857142,14.571428571428573
123,5/24,23365,784,501,6,670.2857142857142,14.0
124,5/25,24057,790,692,6,692.8571428571429,13.857142857142858
125,5/26,24455,801,398,11,745.1428571428571,15.428571428571427
126,5/27,24916,844,461,43,664.8571428571429,16.857142857142858
127,5/28,25800,876,884,32,755.4285714285713,20.285714285714285
128,5/29,26885,919,1085,43,682.1428571428571,20.571428571428573
129,5/30,27794,929,909,10,704.2857142857142,21.571428571428577
130,5/31,28785,937,991,8,774.2857142857142,21.857142857142854
131,6/1,29592,948,807,11,790.7142857142858,22.57142857142857
132,6/2,30023,961,431,13,795.4285714285713,22.857142857142854
133,6/3,31276,999,1253,38,908.5714285714287,22.142857142857146
134,6/4,32075,1006,799,7,896.4285714285713,18.571428571428573
135,6/5,33295,1015,1220,9,915.7142857142856,13.714285714285715
136,6/6,34718,1028,1423,13,989.1428571428572,14.142857142857142
137,6/7,35625,1032,907,4,977.1428571428572,13.571428571428573
138,6/8,36517,1041,892,9,989.2857142857144,13.285714285714285
139,6/9,37227,1068,710,27,1029.142857142857,15.285714285714285
140,6/10,38473,1090,1246,22,1028.142857142857,13.0
141,6/11,39584,1106,1111,16,1072.7142857142858,14.285714285714285
142,6/12,41417,1121,1833,15,1160.2857142857142,15.142857142857142
143,6/13,42845,1127,1428,6,1161.0,14.142857142857142
144,6/14,44264,1132,1419,5,1234.142857142857,14.285714285714285
145,6/15,45114,1140,850,8,1228.142857142857,14.142857142857142
146,6/16,45907,1169,793,29,1240.0,14.428571428571427
147,6/17,46934,1181,1027,12,1208.7142857142858,13.0
148,6/18,48167,1188,1233,7,1226.142857142857,11.714285714285715
149,6/19,49785,1202,1618,14,1195.4285714285713,11.571428571428573
150,6/20,51390,1215,1605,13,1220.7142857142858,12.571428571428573
151,6/21,52801,1245,1411,30,1219.5714285714287,16.142857142857142
152,6/22,53964,1278,1163,33,1264.2857142857142,19.714285714285715
153,6/23,54639,1296,675,18,1247.4285714285713,18.142857142857142
154,6/24,56527,1325,1888,29,1370.4285714285713,20.571428571428573
155,6/25,57472,1336,945,11,1329.2857142857142,21.142857142857142
156,6/26,59158,1348,1686,12,1339.0,20.857142857142858
157,6/27,60812,1353,1654,5,1346.0,19.714285714285715
158,6/28,62248,1352,1436,0,1349.5714285714287,15.428571428571427
159,6/29,63736,1357,1488,5,1396.0,11.428571428571427
160,6/30,65327,1380,1591,23,1526.857142857143,12.142857142857142
161,7/1,66751,1398,1424,18,1460.571428571429,10.571428571428571
