,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,4081,56,169509,24.075417824422303
Alexander County,543,7,37497,14.481158492679414
Alleghany County,239,0,11137,21.459998204184252
Anson County,633,6,24446,25.89380675775178
Ashe County,286,1,27203,10.513546300040437
Avery County,370,0,17557,21.07421541265592
Beaufort County,988,27,46994,21.02396050559646
Bertie County,615,11,18947,32.45896447986489
Bladen County,934,17,32722,28.54348756188497
Brunswick County,1693,27,142820,11.854082061335948
Buncombe County,3254,84,261191,12.458315945036391
Burke County,2179,42,90485,24.08133944852738
Cabarrus County,4141,75,216453,19.131173973102705
Caldwell County,1724,18,82178,20.97885078731534
Camden County,118,3,10867,10.858562620778503
Carteret County,756,5,69473,10.881925352295136
Caswell County,418,5,22604,18.492302247389844
Catawba County,3302,53,159551,20.695576962852005
Chatham County,1710,58,74470,22.962266684570967
Cherokee County,665,12,28612,23.24199636516147
Chowan County,386,4,13943,27.684142580506347
Clay County,127,2,11231,11.307986822188585
Cleveland County,2347,68,97947,23.96193859944664
Columbus County,1413,57,55508,25.455790156373855
Craven County,1733,40,102139,16.9670742811267
Cumberland County,5722,80,335509,17.05468407702923
Currituck County,188,3,27763,6.771602492526024
Dare County,285,3,37009,7.70082952795266
Davidson County,2912,37,167609,17.373768711704024
Davie County,589,6,42846,13.746907529290949
Duplin County,2430,54,58741,41.36803935922099
Durham County,7916,96,321488,24.623003035883144
Edgecombe County,1434,50,51472,27.85980727385763
Forsyth County,7237,104,382295,18.930407146313712
Franklin County,1256,31,69685,18.023964985290952
Gaston County,5397,86,224529,24.036984086688133
Gates County,145,3,11562,12.541082857637088
Graham County,178,5,8441,21.087548868617464
Granville County,1770,50,60443,29.283788031699288
Greene County,637,5,21069,30.233993070387772
Guilford County,8919,187,537174,16.60355862346279
Halifax County,1074,21,50010,21.475704859028195
Harnett County,2348,54,135976,17.267753132905806
Haywood County,626,31,62317,10.045412969173741
Henderson County,2074,64,117417,17.66354105453214
Hertford County,787,30,23677,33.23900832031085
Hoke County,1262,18,55234,22.848245645797878
Hyde County,128,5,4937,25.92667611910067
Iredell County,3166,33,181806,17.414166749172196
Jackson County,672,7,43938,15.29427830124266
Johnston County,4644,57,209339,22.184112850448315
Jones County,158,14,9419,16.774604522773117
Lee County,1701,15,61779,27.533627931821492
Lenoir County,1040,33,55949,18.588357253927683
Lincoln County,1734,15,86111,20.136800176516356
Macon County,635,2,35858,17.7087400301188
Madison County,115,1,21755,5.286141116984601
Martin County,501,12,22440,22.32620320855615
McDowell County,1050,27,45756,22.947810123262524
Mecklenburg County,29271,360,1110356,26.361815489806872
Mitchell County,167,3,14964,11.1601176156108
Montgomery County,1058,34,27173,38.93570823979686
Moore County,1777,33,100880,17.614988104678826
Nash County,2479,44,94298,26.288998706229187
New Hanover County,4421,32,234473,18.85504940867392
Northampton County,467,17,19483,23.969614535749116
Onslow County,2315,26,197938,11.695581444694803
Orange County,2714,57,148476,18.279048465745305
Pamlico County,270,2,12726,21.216407355021218
Pasquotank County,724,31,39824,18.179991964644437
Pender County,999,7,63060,15.842055185537584
Perquimans County,191,3,13463,14.18703112233529
Person County,449,8,39490,11.369967080273486
Pitt County,5044,29,180742,27.907182613891624
Polk County,331,11,20724,15.971820111947501
Randolph County,2947,54,143667,20.512713427579055
Richmond County,1061,17,44829,23.667715095139307
Robeson County,4701,83,130625,35.988516746411484
Rockingham County,1349,14,91010,14.822546972860126
Rowan County,3522,103,142088,24.787455661280333
Rutherford County,1286,33,67029,19.185725581464737
Sampson County,2304,28,63531,36.2657600226661
Scotland County,1276,16,34823,36.64244895614967
Stanly County,2049,56,62806,32.624271566410854
Stokes County,476,4,45591,10.440657147243973
Surry County,1386,23,71783,19.308192747586475
Swain County,157,3,14271,11.001331371312451
Transylvania County,335,9,34385,9.74262032863167
Tyrrell County,115,3,4016,28.63545816733068
Union County,4975,59,239859,20.741352211090682
Vance County,1077,44,44535,24.183226675648367
Wake County,18014,257,1111761,16.203122793478094
Warren County,358,7,19731,18.14403730170797
Washington County,217,8,11580,18.739205526770295
Watauga County,955,2,56177,16.99983979208573
Wayne County,3475,71,123131,28.221974969747667
Wilkes County,1292,35,68412,18.885575630006432
Wilson County,2311,56,81801,28.25148836811286
Yadkin County,763,9,37667,20.256457907452145
Yancey County,221,0,18069,12.23089268913609
