,Unnamed: 0,County,Date,Total negative tests,Total cases,Deaths per day,Cases per day,Negative tests per day,Tests per day,Total deaths,7 day rolling case average,7 day rolling deaths average,7 day rolling tests average
0,0,Racine,3/15/2020,0,1,0,0,0,0,0,,,
1,1,Racine,3/16/2020,0,1,0,0,0,0,0,,,
2,2,Racine,3/17/2020,0,1,0,0,0,0,0,,,
3,3,Racine,3/18/2020,0,1,0,0,0,0,0,,,
4,4,Racine,3/19/2020,0,3,0,2,0,0,0,,,
5,5,Racine,3/20/2020,0,3,0,0,0,0,0,,,
6,6,Racine,3/21/2020,0,4,0,1,0,0,0,0.42857142857142855,0.0,inf
7,7,Racine,3/22/2020,0,4,0,0,0,0,0,0.42857142857142855,0.0,inf
8,8,Racine,3/23/2020,0,5,0,1,0,0,0,0.5714285714285714,0.0,inf
9,9,Racine,3/24/2020,0,5,0,0,0,0,0,0.5714285714285714,0.0,inf
10,10,Racine,3/25/2020,0,7,0,2,0,0,0,0.8571428571428571,0.0,inf
11,11,Racine,3/26/2020,0,8,0,1,0,0,0,0.7142857142857143,0.0,inf
12,12,Racine,3/27/2020,0,9,0,1,0,0,0,0.8571428571428571,0.0,inf
13,13,Racine,3/28/2020,0,16,0,7,0,0,0,1.7142857142857142,0.0,inf
14,14,Racine,3/29/2020,0,17,0,1,0,0,0,1.8571428571428568,0.0,inf
15,15,Racine,3/30/2020,337,21,0,4,0,0,0,2.2857142857142856,0.0,inf
16,16,Racine,3/31/2020,373,26,0,5,36,41,0,3.0,0.0,0.5121951219512195
17,17,Racine,4/1/2020,420,28,0,2,47,49,0,3.0,0.0,0.2333333333333333
18,18,Racine,4/2/2020,471,35,0,7,51,58,0,3.8571428571428568,0.0,0.18243243243243246
19,19,Racine,4/3/2020,521,41,0,6,50,56,0,4.571428571428571,0.0,0.1568627450980392
20,20,Racine,4/4/2020,555,48,1,7,34,41,1,4.571428571428571,0.14285714285714285,0.13061224489795914
21,21,Racine,4/5/2020,575,54,0,6,20,26,1,5.285714285714286,0.14285714285714285,0.13653136531365312
22,22,Racine,4/6/2020,597,57,1,3,22,25,2,5.142857142857143,0.2857142857142857,0.12162162162162166
23,23,Racine,4/7/2020,733,66,0,9,136,145,2,5.7142857142857135,0.2857142857142857,0.1
24,24,Racine,4/8/2020,768,77,0,11,35,46,2,7.0,0.2857142857142857,0.1234256926952141
25,25,Racine,4/9/2020,810,84,0,7,42,49,2,7.0,0.2857142857142857,0.12628865979381446
26,26,Racine,4/10/2020,857,100,1,16,47,63,3,8.428571428571429,0.42857142857142855,0.14936708860759493
27,27,Racine,4/11/2020,880,105,0,5,23,28,3,8.142857142857142,0.2857142857142857,0.14921465968586387
28,28,Racine,4/12/2020,934,117,1,12,54,66,4,9.0,0.42857142857142855,0.14928909952606634
29,29,Racine,4/13/2020,934,117,0,0,0,0,4,8.571428571428571,0.2857142857142857,0.15113350125944586
30,30,Racine,4/14/2020,1063,135,1,18,129,147,5,9.857142857142858,0.42857142857142855,0.1729323308270677
31,31,Racine,4/15/2020,1099,138,1,3,36,39,6,8.714285714285714,0.5714285714285714,0.15561224489795916
32,32,Racine,4/16/2020,1150,143,0,5,51,56,6,8.428571428571429,0.5714285714285714,0.14786967418546365
33,33,Racine,4/17/2020,1212,157,2,14,62,76,8,8.142857142857142,0.7142857142857143,0.1383495145631068
34,34,Racine,4/18/2020,1283,164,0,7,71,78,8,8.428571428571429,0.7142857142857143,0.1277056277056277
35,35,Racine,4/19/2020,1315,168,1,4,32,36,9,7.2857142857142865,0.7142857142857143,0.11805555555555555
36,36,Racine,4/20/2020,1336,174,1,6,21,27,10,8.142857142857142,0.8571428571428571,0.12418300653594773
37,37,Racine,4/21/2020,1444,185,0,11,108,119,10,7.142857142857142,0.7142857142857143,0.1160092807424594
38,38,Racine,4/22/2020,1505,198,0,13,61,74,10,8.571428571428571,0.5714285714285714,0.12875536480686695
39,39,Racine,4/23/2020,1592,215,0,17,87,104,10,10.285714285714286,0.5714285714285714,0.14007782101167315
40,40,Racine,4/24/2020,1677,229,0,14,85,99,10,10.285714285714286,0.2857142857142857,0.13407821229050282
41,41,Racine,4/25/2020,1766,255,0,26,89,115,10,13.0,0.2857142857142857,0.15853658536585366
42,42,Racine,4/26/2020,1866,270,0,15,100,115,10,14.571428571428573,0.14285714285714285,0.15620214395099538
43,43,Racine,4/27/2020,1880,273,0,3,14,17,10,14.142857142857142,0.0,0.15396578538102645
44,44,Racine,4/28/2020,2021,308,2,35,141,176,12,17.571428571428573,0.2857142857142857,0.17571428571428574
45,45,Racine,4/29/2020,2121,317,0,9,100,109,12,17.0,0.2857142857142857,0.1619047619047619
46,46,Racine,4/30/2020,2251,355,0,38,130,168,12,20.0,0.2857142857142857,0.17521902377972468
47,47,Racine,5/1/2020,2447,393,1,38,196,234,13,23.42857142857143,0.42857142857142855,0.17558886509635974
48,48,Racine,5/2/2020,2517,408,0,15,70,85,13,21.857142857142854,0.42857142857142855,0.16924778761061948
49,49,Racine,5/3/2020,2572,435,0,27,55,82,13,23.57142857142857,0.42857142857142855,0.1894374282433984
50,50,Racine,5/4/2020,2636,457,1,22,64,86,14,26.285714285714285,0.5714285714285714,0.19574468085106386
51,51,Racine,5/5/2020,3050,535,1,78,414,492,15,32.42857142857143,0.42857142857142855,0.18073248407643314
52,52,Racine,5/6/2020,3095,559,0,24,45,69,15,34.57142857142857,0.42857142857142855,0.1990131578947368
53,53,Racine,5/7/2020,3283,590,1,31,188,219,16,33.57142857142857,0.5714285714285714,0.18547750591949488
54,54,Racine,5/8/2020,3433,634,0,44,150,194,16,34.42857142857143,0.42857142857142855,0.1964140179299104
55,55,Racine,5/9/2020,3675,680,0,46,242,288,16,38.857142857142854,0.42857142857142855,0.1902097902097902
56,56,Racine,5/10/2020,3819,704,0,24,144,168,16,38.42857142857143,0.42857142857142855,0.1774406332453826
57,57,Racine,5/11/2020,3821,724,0,20,2,22,16,38.142857142857146,0.2857142857142857,0.1838842975206612
58,58,Racine,5/12/2020,4135,763,1,39,314,353,17,32.57142857142857,0.2857142857142857,0.17364813404417362
59,59,Racine,5/13/2020,4185,785,0,22,50,72,17,32.285714285714285,0.2857142857142857,0.17173252279635254
60,60,Racine,5/14/2020,4393,833,0,48,208,256,17,34.714285714285715,0.14285714285714285,0.1796008869179601
61,61,Racine,5/15/2020,4738,920,1,87,345,432,18,40.857142857142854,0.2857142857142857,0.17976115650534255
62,62,Racine,5/16/2020,4931,1004,0,84,193,277,18,46.28571428571429,0.2857142857142857,0.2050632911392405
63,63,Racine,5/17/2020,5094,1017,0,13,163,176,18,44.714285714285715,0.2857142857142857,0.197103274559194
64,64,Racine,5/18/2020,5179,1034,0,17,85,102,18,44.28571428571429,0.2857142857142857,0.18585131894484413
65,65,Racine,5/19/2020,5463,1061,1,27,284,311,19,42.57142857142857,0.2857142857142857,0.1832718327183272
66,66,Racine,5/20/2020,5883,1115,1,54,420,474,20,47.14285714285714,0.42857142857142855,0.16272189349112426
67,67,Racine,5/21/2020,6236,1166,0,51,353,404,20,47.57142857142857,0.42857142857142855,0.15303308823529413
68,68,Racine,5/22/2020,6924,1269,2,103,688,791,22,49.85714285714285,0.5714285714285714,0.13767258382642994
69,69,Racine,5/23/2020,7192,1311,0,42,268,310,22,43.85714285714285,0.5714285714285714,0.11954828660436136
70,70,Racine,5/24/2020,7801,1387,0,76,609,685,22,52.85714285714285,0.5714285714285714,0.12024699382515434
71,71,Racine,5/25/2020,8059,1394,3,7,258,265,25,51.42857142857143,1.0,0.11111111111111112
72,72,Racine,5/26/2020,8331,1395,0,1,272,273,25,47.714285714285715,0.8571428571428571,0.10430980637101812
73,73,Racine,5/27/2020,9348,1579,3,184,1017,1201,28,66.28571428571429,1.1428571428571428,0.1180962076864342
74,74,Racine,5/28/2020,9960,1605,5,26,612,638,33,62.714285714285715,1.8571428571428568,0.10545279846264714
75,75,Racine,5/29/2020,10597,1652,2,47,637,684,35,54.714285714285715,1.8571428571428568,0.09442800788954636
