,Date,Cases per day,Deaths per day,7 Day Average Positive Test Rate,Tests per day,7 day rolling case average,Total deaths,Total cases
0,03/15,0,0,,0.0,,0,0
1,03/16,15,0,,206.0,,0,15
2,03/17,25,0,,559.0,,0,40
45,03/18,34,0,,573.0,,0,74
46,03/19,49,0,,664.0,,0,123
47,03/20,51,3,,1314.0,,3,174
48,03/21,75,1,0.11503067484662577,1248.0,35.57142857142857,4,249
49,03/22,100,0,0.1117140121289499,1702.0,49.857142857142854,4,349
50,03/23,35,1,0.035430224150397684,855.0,52.714285714285715,5,384
51,03/24,41,0,0.03784282700421941,1228.0,55.0,5,425
52,03/25,128,1,0.09965521076632189,1980.0,68.42857142857143,6,553
53,03/26,122,2,0.08588957055214724,1616.0,78.85714285714286,8,675
54,03/27,135,5,0.09156089526208701,1692.0,90.85714285714286,13,810
55,03/28,147,0,0.09096534653465346,2239.0,101.14285714285714,13,957
56,03/29,123,0,0.0779115012216089,1441.0,104.42857142857143,13,1080
57,03/30,109,1,0.07938820101966497,-585.0,115.0,14,1189
58,03/31,130,2,0.0907097288676236,1649.0,127.71428571428571,16,1319
59,04/01,199,8,0.14368231046931407,1643.0,137.85714285714286,24,1518
60,04/02,180,7,0.12913805472993747,1678.0,146.14285714285714,31,1698
61,04/03,186,6,0.12627291242362526,2246.0,153.42857142857142,37,1884
62,04/04,196,19,0.1407179487179487,1678.0,160.42857142857142,56,2080
63,04/05,155,12,0.11100879885410272,1465.0,165.0,68,2235
64,04/06,173,9,0.10144927536231885,1578.0,174.14285714285714,77,2408
65,04/07,138,15,0.07813005499838241,2076.0,175.28571428571428,92,2546
66,04/08,178,7,0.09966405375139978,1781.0,172.28571428571428,99,2724
67,04/09,129,12,0.07364214646876528,1438.0,165.0,111,2853
68,04/10,183,17,0.10675,1984.0,164.57142857142858,128,3036
69,04/11,145,9,0.08513672202650562,1600.0,157.28571428571428,137,3181
70,04/12,128,7,0.07579730987226123,1364.0,153.42857142857142,144,3309
71,04/13,87,10,0.054457658946615396,940.0,141.14285714285714,154,3396
72,04/14,127,16,0.08497419231504492,1355.0,139.57142857142858,170,3523
73,04/15,166,12,0.11419025157232704,1495.0,137.85714285714286,182,3689
74,04/16,154,15,0.10227703984819735,1802.0,141.42857142857142,197,3843
75,04/17,170,8,0.11762380152219037,1561.0,139.57142857142858,205,4013
76,04/18,154,6,0.10498636540708998,1751.0,140.85714285714286,211,4167
77,04/19,147,9,0.09882827506723013,1508.0,143.57142857142858,220,4314
78,04/20,153,10,0.09821182943603851,1433.0,153.0,230,4467
79,04/21,121,12,0.07764231368594739,1359.0,152.14285714285714,242,4588
80,04/22,225,4,0.13938053097345132,1886.0,160.57142857142858,246,4813
81,04/23,207,11,0.12428167081224804,2161.0,168.14285714285714,257,5020
82,04/24,304,5,0.1574080923145203,3421.0,187.28571428571428,262,5324
11,04/25,331,4,0.1580060010911075,2896.0,212.57142857142858,266,5655
12,04/26,224,6,0.1013116236996834,2321.0,223.57142857142858,272,5879
13,04/27,170,9,0.07305095150399017,2246.0,226.0,281,6049
14,04/28,208,19,0.083856476415366,2432.0,238.42857142857142,300,6257
15,04/29,231,8,0.08599691538584268,3326.0,239.28571428571428,308,6488
16,04/30,334,8,0.11843971631205674,3098.0,257.42857142857144,316,6822
17,05/01,460,11,0.1613954187760012,3632.0,279.7142857142857,327,7282
18,05/02,346,7,0.11869639794168096,3350.0,281.85714285714283,334,7628
19,05/03,304,5,0.1022339658899832,2731.0,293.2857142857143,339,7932
20,05/04,272,1,0.08934353150954906,2742.0,307.85714285714283,340,8204
21,05/05,330,13,0.10172178431458892,3830.0,325.2857142857143,353,8534
22,05/06,335,9,0.09946133944098061,4194.0,340.14285714285717,362,8869
23,05/07,314,12,0.08453195908007077,5523.0,337.2857142857143,374,9183
37,05/08,375,10,0.09731232622798888,4605.0,325.14285714285717,384,9558
38,05/09,349,14,0.08528836754643206,5019.0,325.57142857142856,398,9907
39,05/10,280,2,0.06661908160837497,3508.0,322.14285714285717,400,10187
40,05/11,199,9,0.046826677423692356,3069.0,311.7142857142857,409,10386
41,05/12,193,9,0.04382663984947772,4908.0,292.14285714285717,418,10579
42,05/13,291,3,0.06510899443840695,4654.0,285.85714285714283,421,10870
