,Date,Cases per day,Deaths per day,7 day rolling case average,Total cases,Total deaths
0,03/15,0,0,,0,0
1,03/16,15,0,,15,0
2,03/17,25,0,,40,0
3,03/18,34,0,,74,0
4,03/19,49,0,,123,0
5,03/20,51,3,,174,3
6,03/21,75,1,35.57142857142857,249,4
7,03/22,100,0,49.857142857142854,349,4
8,03/23,35,1,52.714285714285715,384,5
9,03/24,41,0,55.0,425,5
10,03/25,128,1,68.42857142857143,553,6
11,03/26,122,2,78.85714285714286,675,8
12,03/27,135,5,90.85714285714286,810,13
13,03/28,147,0,101.14285714285714,957,13
14,03/29,123,0,104.42857142857143,1080,13
15,03/30,109,1,115.0,1189,14
16,03/31,130,2,127.71428571428571,1319,16
17,04/01,199,8,137.85714285714286,1518,24
18,04/02,180,7,146.14285714285714,1698,31
19,04/03,186,6,153.42857142857142,1884,37
20,04/04,196,19,160.42857142857142,2080,56
21,04/05,155,12,165.0,2235,68
22,04/06,173,9,174.14285714285714,2408,77
23,04/07,138,15,175.28571428571428,2546,92
24,04/08,178,7,172.28571428571428,2724,99
25,04/09,129,12,165.0,2853,111
26,04/10,183,17,164.57142857142858,3036,128
27,04/11,145,9,157.28571428571428,3181,137
28,04/12,128,7,153.42857142857142,3309,144
29,04/13,87,10,141.14285714285714,3396,154
30,04/14,127,16,139.57142857142858,3523,170
31,04/15,166,12,137.85714285714286,3689,182
32,04/16,154,15,141.42857142857142,3843,197
33,04/17,170,8,139.57142857142858,4013,205
34,04/18,154,6,140.85714285714286,4167,211
35,04/19,147,9,143.57142857142858,4314,220
36,04/20,153,10,153.0,4467,230
37,04/21,121,12,152.14285714285714,4588,242
38,04/22,225,4,160.57142857142858,4813,246
39,04/23,207,11,168.14285714285714,5020,257
40,04/24,304,5,187.28571428571428,5324,262
41,04/25,331,4,212.57142857142858,5655,266
42,04/26,224,6,223.57142857142858,5879,272
43,04/27,170,9,226.0,6049,281
44,04/28,208,19,238.42857142857142,6257,300
45,04/29,231,8,239.28571428571428,6488,308
46,04/30,334,8,257.42857142857144,6822,316
47,05/01,460,11,279.7142857142857,7282,327
48,05/02,346,7,281.85714285714283,7628,334
49,05/03,304,5,293.2857142857143,7932,339
50,05/04,272,1,307.85714285714283,8204,340
51,05/05,330,13,325.2857142857143,8534,353
52,05/06,335,9,340.14285714285717,8869,362
53,05/07,314,12,337.2857142857143,9183,374
54,05/08,375,10,325.14285714285717,9558,384
55,05/09,349,14,325.57142857142856,9907,398
56,05/10,280,2,322.14285714285717,10187,400
57,05/11,199,9,311.7142857142857,10386,409
58,05/12,193,9,292.14285714285717,10579,418
59,05/13,291,3,285.85714285714283,10870,421
60,05/14,373,13,294.2857142857143,11243,434
61,05/15,410,11,299.2857142857143,11653,445
62,05/16,502,8,321.14285714285717,12155,453
63,05/17,356,0,332.0,12511,453
64,05/18,144,6,324.14285714285717,12655,459
65,05/19,198,8,324.85714285714283,12853,467
66,05/20,528,14,358.7142857142857,13381,481
67,05/21,472,6,372.85714285714283,13853,487
68,05/22,511,9,387.2857142857143,14364,496
69,05/23,481,11,384.2857142857143,14845,507
70,05/24,400,3,390.57142857142856,15245,510
71,05/25,307,4,413.85714285714283,15552,514
72,05/26,279,3,425.42857142857144,15831,517
73,05/27,599,22,435.57142857142856,16430,539
74,05/28,512,11,441.2857142857143,16942,550
75,05/29,733,18,473.0,17675,568
76,05/30,523,20,479.0,18198,588
77,05/31,173,4,446.57142857142856,18371,592
78,06/01,140,3,422.7142857142857,18511,595
79,06/02,374,12,436.2857142857143,18885,607
80,06/03,483,9,419.7142857142857,19368,616
81,06/04,492,10,416.85714285714283,19860,626
82,06/05,357,7,363.14285714285717,20217,633
83,06/06,322,12,334.42857142857144,20539,645
84,06/07,264,2,347.42857142857144,20803,647
85,06/08,203,0,356.42857142857144,21006,647
86,06/09,270,15,341.57142857142856,21276,662
87,06/10,285,10,313.2857142857143,21561,672
88,06/11,333,11,290.57142857142856,21894,683
89,06/12,320,7,285.2857142857143,22214,690
90,06/13,272,2,278.14285714285717,22486,692
91,06/14,240,1,274.7142857142857,22726,693
92,06/15,174,2,270.57142857142856,22900,695
93,06/16,266,9,270.0,23166,704
94,06/17,256,9,265.85714285714283,23422,713
95,06/18,422,7,278.57142857142856,23844,720
96,06/19,278,11,272.57142857142856,24122,731
97,06/20,385,14,288.7142857142857,24507,745
98,06/21,280,0,294.42857142857144,24787,745
99,06/22,249,1,305.14285714285717,25036,746
100,06/23,263,5,304.7142857142857,25299,751
101,06/24,432,7,329.85714285714283,25731,758
102,06/25,464,9,335.85714285714283,26195,767
103,06/26,520,0,370.42857142857144,26715,767
104,06/27,539,11,392.42857142857144,27254,778
105,06/28,457,0,417.7142857142857,27711,778
106,06/29,315,0,427.14285714285717,28026,778
107,06/30,601,7,475.42857142857144,28627,785
108,07/01,540,2,490.85714285714283,29167,787
109,07/02,539,7,501.57142857142856,29706,794
110,07/03,579,3,510.0,30285,797
111,07/04,738,0,538.4285714285714,31023,797
112,07/05,522,0,547.7142857142857,31545,797
113,07/06,484,0,571.8571428571429,32029,797
114,07/07,495,9,556.7142857142857,32524,806
115,07/08,598,2,565.0,33122,808
116,07/09,754,2,595.7142857142857,33876,810
117,07/10,845,5,633.7142857142857,34721,815
118,07/11,926,7,660.5714285714286,35647,822
119,07/12,769,0,695.8571428571429,36416,822
120,07/13,494,0,697.2857142857143,36910,822
121,07/14,964,6,764.2857142857143,37874,828
122,07/15,821,1,796.1428571428571,38695,829
123,07/16,900,4,817.0,39595,833
124,07/17,880,2,822.0,40475,835
125,07/18,978,10,829.4285714285714,41453,845
