Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Tests,Positive Test Rate,Tests Per Day,New Cases 7 Day Average
3/6/20,2,0,0,0,2,,0,0.0
3/7/20,4,2,0,0,4,,2,0.0
3/8/20,6,2,0,0,6,,2,0.0
3/9/20,10,4,0,0,10,,4,0.0
3/10/20,12,2,0,0,12,,2,0.0
3/11/20,16,4,0,0,158,10.126582278481013,92,0.0
3/12/20,22,6,0,0,219,10.045662100456621,34,2.857142857142857
3/13/20,41,19,0,0,311,13.183279742765272,43,5.571428571428571
3/14/20,47,6,0,0,402,11.691542288557214,71,6.142857142857143
3/15/20,63,16,0,0,451,13.968957871396896,16,8.142857142857142
3/16/20,76,13,0,0,746,10.187667560321715,478,9.428571428571429
3/17/20,96,20,0,0,975,9.846153846153847,229,12.0
3/18/20,133,37,1,1,1320,10.075757575757576,345,16.714285714285715
3/19/20,185,52,1,0,1793,10.317902955939767,473,23.285714285714285
3/20/20,268,83,1,0,2842,9.429978888106968,1049,32.42857142857143
3/21/20,371,103,2,1,4137,8.967851099830796,1295,46.285714285714285
3/22/20,479,108,2,0,5443,8.800293955539225,1306,59.42857142857143
3/23/20,644,165,6,4,7239,8.896256389004007,1796,81.14285714285714
3/24/20,851,207,7,1,9494,8.96355593006109,2255,107.85714285714286
3/25/20,1127,276,11,4,12320,9.147727272727273,2826,142.0
3/26/20,1687,560,16,5,18128,9.306045895851721,5808,214.57142857142858
3/27/20,2218,531,22,6,23234,9.54635448050271,5106,278.57142857142856
3/28/20,2751,533,34,12,28005,9.823245848955544,4771,340.0
3/29/20,3394,643,38,4,33455,10.144970856374234,5450,416.42857142857144
3/30/20,4087,693,49,11,37864,10.79389393619269,4409,491.85714285714283
3/31/20,4843,756,63,14,42488,11.39851252118245,4624,570.2857142857143
4/1/20,5805,962,74,11,48232,12.035578039475867,5744,668.2857142857143
4/2/20,7016,1211,90,16,54714,12.82304346236795,6482,761.2857142857143
4/3/20,8420,1404,102,12,62115,13.55550189165258,7401,886.0
4/4/20,10017,1597,136,34,70030,14.30386977009853,7915,1038.0
4/5/20,11510,1493,150,14,77771,14.799861130755678,7741,1159.4285714285713
4/6/20,12980,1470,162,12,83854,15.479285424666683,6083,1270.4285714285713
4/7/20,14559,1579,240,78,91278,15.950174193124303,7424,1388.0
4/8/20,16239,1680,309,69,98538,16.47993667417646,7260,1490.5714285714287
4/9/20,18228,1989,338,29,105602,17.261036722789342,7064,1601.7142857142858
4/10/20,19979,1751,416,78,113019,17.677558640582557,7417,1651.2857142857142
4/11/20,21655,1676,494,78,120153,18.022854194235684,7134,1662.5714285714287
4/12/20,22833,1178,507,13,124890,18.282488589959165,4737,1617.5714285714287
4/13/20,24199,1366,524,17,129792,18.644446499013807,4902,1602.7142857142858
4/14/20,25345,1146,584,60,133631,18.966407495266814,3839,1540.857142857143
4/15/20,26490,1145,647,63,137584,19.253692289801137,3953,1464.4285714285713
4/16/20,27735,1245,707,60,141470,19.6048632218845,3886,1358.142857142857
4/17/20,29441,1706,756,49,147373,19.97720070840656,5903,1351.7142857142858
4/18/20,31069,1628,836,80,153965,20.179261520475432,6592,1344.857142857143
4/19/20,32284,1215,1112,276,158854,20.323063945509716,4889,1350.142857142857
4/20/20,33232,948,1204,92,162952,20.393735578575285,4098,1290.4285714285713
4/21/20,34528,1296,1564,360,166851,20.69391253273879,3899,1311.857142857143
4/22/20,35684,1156,1622,58,171956,20.75182023308288,5105,1313.4285714285713
4/23/20,37053,1369,1421,-201,179114,20.686825150462834,7158,1331.142857142857
4/24/20,38652,1599,1492,71,186143,20.764680917359236,7029,1315.857142857143
4/25/20,40049,1397,1537,45,192935,20.75776816026123,6792,1282.857142857143
4/26/20,41165,1116,1550,13,198593,20.72832375763496,5658,1268.7142857142858
4/27/20,42050,885,1597,47,203422,20.67131382053072,4829,1259.7142857142858
4/28/20,43264,1214,1716,119,209088,20.6917661463116,5666,1248.0
4/29/20,44366,1102,2195,479,214883,20.646584420358984,5795,1240.2857142857142
4/30/20,45763,1397,2292,97,221365,20.673096469631606,6482,1244.2857142857142
5/1/20,46971,1208,2354,62,227448,20.651313706869264,6083,1188.4285714285713
5/2/20,48305,1334,2418,64,235376,20.522483175854802,7928,1179.4285714285713
5/3/20,49267,962,2444,26,240641,20.47323606534215,5265,1157.4285714285713
5/4/20,50092,825,2458,14,245590,20.39659595260393,4949,1148.857142857143
5/5/20,50957,865,3012,554,250882,20.311142290000877,5292,1099.0
5/6/20,51845,888,3106,94,256340,20.225091675118982,5458,1068.4285714285713
5/7/20,52915,1070,3416,310,262788,20.1360031660502,6448,1021.7142857142857
5/8/20,54238,1323,3616,200,270559,20.046644170033154,7771,1038.142857142857
5/9/20,55316,1078,3688,72,277107,19.96196415103191,6548,1001.5714285714286
5/10/20,56611,1295,3707,19,284383,19.90660482518294,7276,1049.142857142857
5/11/20,57154,543,3731,24,288858,19.786192523662148,4475,1008.8571428571429
5/12/20,57991,837,3806,75,295980,19.592877897155216,7122,1004.8571428571429
5/13/20,58698,707,3943,137,302869,19.380656323360927,6889,979.0
5/14/20,59636,938,4218,275,311195,19.163546972155725,8326,960.1428571428571
5/15/20,60622,986,4342,124,319832,18.954326021161112,8637,912.0
5/16/20,61611,989,4403,61,327836,18.79323808245586,8004,899.2857142857143
5/17/20,62234,623,4418,15,332904,18.694278230360705,5068,803.2857142857143
5/18/20,63056,822,4505,87,340609,18.51272279945627,7705,843.1428571428571
5/19/20,63666,610,4624,119,349700,18.205890763511583,9091,810.7142857142857
5/20/20,63666,0,4624,0,349700,18.205890763511583,0,709.7142857142857
5/21/20,65392,1726,4869,245,368906,17.725924761321313,19206,822.2857142857143
5/22/20,66258,866,4984,115,379001,17.48227577235944,10095,805.1428571428571
5/23/20,66983,725,5096,112,388452,17.243571921369952,9451,767.4285714285714
5/24/20,67713,730,5124,28,396095,17.09514131710827,7643,782.7142857142857
5/25/20,68186,473,5139,15,403114,16.914818140774074,7019,732.8571428571429
5/26/20,68637,451,5152,13,408472,16.803354942321626,5358,710.1428571428571
5/27/20,69417,780,5265,113,419407,16.551225897517206,10935,821.5714285714286
