,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Tests,Positive Test Rate,Tests Per Day,New Cases 7 Day Average
0,3/6/20,2,0,0,0,2,,0,0.0
1,3/7/20,4,2,0,0,4,,2,0.0
2,3/8/20,6,2,0,0,6,,2,0.0
3,3/9/20,10,4,0,0,10,,4,0.0
4,3/10/20,12,2,0,0,12,,2,0.0
5,3/11/20,16,4,0,0,158,10.126582278481012,92,0.0
6,3/12/20,22,6,0,0,219,10.04566210045662,34,2.8571428571428568
7,3/13/20,41,19,0,0,311,13.183279742765274,43,5.571428571428571
8,3/14/20,47,6,0,0,402,11.691542288557216,71,6.142857142857142
9,3/15/20,63,16,0,0,451,13.968957871396894,16,8.142857142857142
10,3/16/20,76,13,0,0,746,10.187667560321717,478,9.428571428571429
11,3/17/20,96,20,0,0,975,9.846153846153848,229,12.0
12,3/18/20,133,37,1,1,1320,10.075757575757576,345,16.714285714285715
13,3/19/20,185,52,1,0,1793,10.317902955939767,473,23.285714285714285
14,3/20/20,268,83,1,0,2842,9.429978888106968,1049,32.42857142857143
15,3/21/20,371,103,2,1,4137,8.967851099830797,1295,46.28571428571429
16,3/22/20,479,108,2,0,5443,8.800293955539225,1306,59.42857142857143
17,3/23/20,644,165,6,4,7239,8.896256389004007,1796,81.14285714285714
18,3/24/20,851,207,7,1,9494,8.96355593006109,2255,107.85714285714286
19,3/25/20,1127,276,11,4,12320,9.147727272727273,2826,142.0
20,3/26/20,1687,560,16,5,18128,9.306045895851721,5808,214.57142857142856
21,3/27/20,2218,531,22,6,23234,9.54635448050271,5106,278.57142857142856
22,3/28/20,2751,533,34,12,28005,9.823245848955542,4771,340.0
23,3/29/20,3394,643,38,4,33455,10.144970856374234,5450,416.4285714285714
24,3/30/20,4087,693,49,11,37864,10.793893936192688,4409,491.8571428571428
25,3/31/20,4843,756,63,14,42488,11.398512521182449,4624,570.2857142857142
26,4/1/20,5805,962,74,11,48232,12.035578039475867,5744,668.2857142857142
27,4/2/20,7016,1211,90,16,54714,12.82304346236795,6482,761.2857142857142
28,4/3/20,8420,1404,102,12,62115,13.555501891652579,7401,886.0
29,4/4/20,10017,1597,136,34,70030,14.30386977009853,7915,1038.0
30,4/5/20,11510,1493,150,14,77771,14.799861130755676,7741,1159.4285714285713
31,4/6/20,12980,1470,162,12,83854,15.479285424666687,6083,1270.4285714285713
32,4/7/20,14559,1579,240,78,91278,15.950174193124305,7424,1388.0
33,4/8/20,16239,1680,309,69,98538,16.47993667417646,7260,1490.571428571429
34,4/9/20,18228,1989,338,29,105602,17.261036722789342,7064,1601.7142857142858
35,4/10/20,19979,1751,416,78,113019,17.677558640582554,7417,1651.2857142857142
36,4/11/20,21655,1676,494,78,120153,18.022854194235684,7134,1662.571428571429
37,4/12/20,22833,1178,507,13,124890,18.282488589959165,4737,1617.571428571429
38,4/13/20,24199,1366,524,17,129792,18.644446499013807,4902,1602.7142857142858
39,4/14/20,25345,1146,584,60,133631,18.96640749526681,3839,1540.857142857143
40,4/15/20,26490,1145,647,63,137584,19.253692289801137,3953,1464.428571428571
41,4/16/20,27735,1245,707,60,141470,19.6048632218845,3886,1358.142857142857
42,4/17/20,29441,1706,756,49,147373,19.977200708406556,5903,1351.7142857142858
43,4/18/20,31069,1628,836,80,153965,20.179261520475432,6592,1344.857142857143
44,4/19/20,32284,1215,1112,276,158854,20.32306394550972,4889,1350.142857142857
45,4/20/20,33232,948,1204,92,162952,20.393735578575285,4098,1290.4285714285713
46,4/21/20,34528,1296,1564,360,166851,20.69391253273879,3899,1311.857142857143
47,4/22/20,35684,1156,1622,58,171956,20.751820233082878,5105,1313.4285714285713
48,4/23/20,37053,1369,1421,-201,179114,20.686825150462834,7158,1331.142857142857
49,4/24/20,38652,1599,1492,71,186143,20.764680917359236,7029,1315.857142857143
50,4/25/20,40049,1397,1537,45,192935,20.75776816026123,6792,1282.857142857143
51,4/26/20,41165,1116,1550,13,198593,20.72832375763496,5658,1268.7142857142858
52,4/27/20,42050,885,1597,47,203422,20.67131382053072,4829,1259.7142857142858
53,4/28/20,43264,1214,1716,119,209088,20.691766146311604,5666,1248.0
54,4/29/20,44366,1102,2195,479,214883,20.646584420358984,5795,1240.2857142857142
55,4/30/20,45763,1397,2292,97,221365,20.67309646963161,6482,1244.2857142857142
56,5/1/20,46971,1208,2354,62,227448,20.651313706869267,6083,1188.4285714285713
57,5/2/20,48305,1334,2418,64,235376,20.5224831758548,7928,1179.4285714285713
