Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average
1/22/20,0,0,0,0,0.0
1/23/20,0,0,0,0,0.0
1/24/20,0,0,0,0,0.0
1/25/20,0,0,0,0,0.0
1/26/20,0,0,0,0,0.0
1/27/20,0,0,0,0,0.0
1/28/20,0,0,0,0,0.0
1/29/20,0,0,0,0,0.0
1/30/20,0,0,0,0,0.0
1/31/20,0,0,0,0,0.0
2/1/20,0,0,0,0,0.0
2/2/20,0,0,0,0,0.0
2/3/20,0,0,0,0,0.0
2/4/20,0,0,0,0,0.0
2/5/20,0,0,0,0,0.0
2/6/20,0,0,0,0,0.0
2/7/20,0,0,0,0,0.0
2/8/20,0,0,0,0,0.0
2/9/20,0,0,0,0,0.0
2/10/20,0,0,0,0,0.0
2/11/20,0,0,0,0,0.0
2/12/20,0,0,0,0,0.0
2/13/20,0,0,0,0,0.0
2/14/20,0,0,0,0,0.0
2/15/20,0,0,0,0,0.0
2/16/20,0,0,0,0,0.0
2/17/20,0,0,0,0,0.0
2/18/20,0,0,0,0,0.0
2/19/20,0,0,0,0,0.0
2/20/20,0,0,0,0,0.0
2/21/20,0,0,0,0,0.0
2/22/20,0,0,0,0,0.0
2/23/20,0,0,0,0,0.0
2/24/20,0,0,0,0,0.0
2/25/20,0,0,0,0,0.0
2/26/20,0,0,0,0,0.0
2/27/20,0,0,0,0,0.0
2/28/20,0,0,0,0,0.0
2/29/20,0,0,0,0,0.0
3/1/20,0,0,0,0,0.0
3/2/20,0,0,0,0,0.0
3/3/20,0,0,0,0,0.0
3/4/20,0,0,0,0,0.0
3/5/20,0,0,0,0,0.0
3/6/20,0,0,0,0,0.0
3/7/20,0,0,0,0,0.0
3/8/20,0,0,0,0,0.0
3/9/20,0,0,0,0,0.0
3/10/20,0,0,0,0,0.0
3/11/20,0,0,0,0,0.0
3/12/20,0,0,0,0,0.0
3/13/20,0,0,0,0,0.0
3/14/20,2,0,2,0,0.2857142857142857
3/15/20,2,0,0,0,0.2857142857142857
3/16/20,6,0,4,0,0.8571428571428571
3/17/20,10,0,4,0,1.4285714285714286
3/18/20,13,0,3,0,1.8571428571428572
3/19/20,18,0,5,0,2.5714285714285716
3/20/20,28,0,10,0,4.0
3/21/20,31,1,3,1,4.142857142857143
3/22/20,40,1,9,0,5.428571428571429
3/23/20,48,1,8,0,6.0
3/24/20,58,2,10,1,6.857142857142857
3/25/20,88,2,30,0,10.714285714285714
3/26/20,133,2,45,0,16.428571428571427
3/27/20,158,2,25,0,18.571428571428573
3/28/20,219,2,61,0,26.857142857142858
3/29/20,265,2,46,0,32.142857142857146
3/30/20,290,2,25,0,34.57142857142857
3/31/20,325,2,35,0,38.142857142857146
4/1/20,356,2,31,0,38.285714285714285
4/2/20,419,2,63,0,40.857142857142854
4/3/20,476,2,57,0,45.42857142857143
4/4/20,552,3,76,1,47.57142857142857
4/5/20,605,4,53,1,48.57142857142857
4/6/20,642,4,37,0,50.285714285714285
4/7/20,689,6,47,2,52.0
4/8/20,720,10,31,4,52.0
4/9/20,759,12,39,2,48.57142857142857
4/10/20,788,18,29,6,44.57142857142857
4/11/20,836,19,48,1,40.57142857142857
4/12/20,857,19,21,0,36.0
4/13/20,876,21,19,2,33.42857142857143
4/14/20,893,24,17,3,29.142857142857142
4/15/20,904,26,11,2,26.285714285714285
4/16/20,925,38,21,12,23.714285714285715
4/17/20,947,43,22,5,22.714285714285715
4/18/20,1009,47,62,4,24.714285714285715
4/19/20,1035,50,26,3,25.428571428571427
4/20/20,1042,55,7,5,23.714285714285715
4/21/20,1059,67,17,12,23.714285714285715
4/22/20,1088,74,29,7,26.285714285714285
4/23/20,1149,74,61,0,32.0
4/24/20,1177,74,28,0,32.857142857142854
4/25/20,1198,73,21,0,27.0
4/26/20,1211,73,13,0,25.142857142857142
4/27/20,1224,79,13,6,26.0
4/28/20,1235,87,11,8,25.142857142857142
4/29/20,1273,86,38,0,26.428571428571427
4/30/20,1289,94,16,8,20.0
5/1/20,1319,99,30,5,20.285714285714285
5/2/20,1333,102,14,3,19.285714285714285
5/3/20,1345,102,12,0,19.142857142857142
5/4/20,1365,102,20,0,20.142857142857142
5/5/20,1375,109,10,7,20.0
5/6/20,1394,111,19,2,17.285714285714285
5/7/20,1439,117,45,6,21.428571428571427
5/8/20,1455,119,16,2,19.428571428571427
5/9/20,1486,120,31,1,21.857142857142858
5/10/20,1503,122,17,2,22.571428571428573
5/11/20,1511,123,8,1,20.857142857142858
5/12/20,1526,127,15,4,21.571428571428573
5/13/20,1545,139,19,12,21.571428571428573
5/14/20,1551,139,6,0,16.0
5/15/20,1582,141,31,2,18.142857142857142
5/16/20,1595,143,13,2,15.571428571428571
5/17/20,1603,143,8,0,14.285714285714286
5/18/20,1641,143,38,0,18.571428571428573
5/19/20,1658,145,17,2,18.857142857142858
5/20/20,1687,147,29,2,20.285714285714285
5/21/20,1718,148,31,1,23.857142857142858
5/22/20,1739,154,21,6,22.428571428571427
5/23/20,1753,158,14,4,22.571428571428573
5/24/20,1777,159,24,1,24.857142857142858
5/25/20,1805,160,28,1,23.428571428571427
5/26/20,1816,160,11,0,22.571428571428573
5/27/20,1828,160,12,0,20.142857142857142
5/28/20,1851,161,23,1,19.0
5/29/20,1870,162,19,1,18.714285714285715
5/30/20,1897,163,27,1,20.571428571428573
5/31/20,1911,163,14,0,19.142857142857142
6/1/20,1919,164,8,1,16.285714285714285
6/2/20,1928,165,9,1,16.0
6/3/20,1952,166,24,1,17.714285714285715
6/4/20,1965,166,13,0,16.285714285714285
6/5/20,1973,168,8,2,14.714285714285714
6/6/20,1989,168,16,0,13.142857142857142
6/7/20,2003,168,14,0,13.142857142857142
6/8/20,2008,169,5,1,12.714285714285714
6/9/20,2027,169,19,0,14.142857142857142
6/10/20,2034,170,7,1,11.714285714285714
6/11/20,2055,171,21,1,12.857142857142858
6/12/20,2065,171,10,0,13.142857142857142
6/13/20,2076,172,11,1,12.428571428571429
6/14/20,2079,172,3,0,10.857142857142858
6/15/20,2086,174,7,2,11.142857142857142
6/16/20,2113,177,27,3,12.285714285714286
6/17/20,2113,177,0,0,11.285714285714286
6/18/20,2122,177,9,0,9.571428571428571
6/19/20,2139,178,17,1,10.571428571428571
6/20/20,2159,179,20,1,11.857142857142858
6/21/20,2175,179,16,0,13.714285714285714
6/22/20,2220,179,45,0,19.142857142857142
6/23/20,2239,179,19,0,18.0
6/24/20,2284,180,45,1,24.428571428571427
6/25/20,2321,182,37,2,28.428571428571427
6/26/20,2382,183,61,1,34.714285714285715
6/27/20,2472,183,90,0,44.714285714285715
6/28/20,2568,183,96,0,56.142857142857146
6/29/20,2651,183,83,0,61.57142857142857
6/30/20,2760,183,109,0,74.42857142857143
7/1/20,2870,187,110,4,83.71428571428571
7/2/20,3103,188,233,1,111.71428571428571
7/3/20,3280,190,177,2,128.28571428571428
7/4/20,3430,190,150,0,136.85714285714286
7/5/20,3557,190,127,0,141.28571428571428
7/6/20,3775,190,218,0,160.57142857142858
7/7/20,3979,190,204,0,174.14285714285714
7/8/20,4209,190,230,0,191.28571428571428
7/9/20,4367,193,158,3,180.57142857142858
7/10/20,4547,193,180,0,181.0
7/11/20,4762,193,215,0,190.28571428571428
7/12/20,4962,195,200,2,200.71428571428572
7/13/20,5033,197,71,2,179.71428571428572
7/14/20,5364,199,331,2,197.85714285714286
7/15/20,5610,201,246,2,200.14285714285714
7/16/20,5750,201,140,0,197.57142857142858
7/17/20,5990,202,240,1,206.14285714285714
7/18/20,6125,203,135,1,194.71428571428572
7/19/20,6263,205,138,2,185.85714285714286
7/20/20,6435,208,172,3,200.28571428571428
7/21/20,6574,211,139,3,172.85714285714286
7/22/20,6670,214,96,3,151.42857142857142
7/23/20,6817,214,147,0,152.42857142857142
7/24/20,7015,216,198,2,146.42857142857142
7/25/20,7161,218,146,2,148.0
7/26/20,7294,218,133,0,147.28571428571428
7/27/20,7474,218,180,0,148.42857142857142
7/28/20,7593,223,119,5,145.57142857142858
7/29/20,7718,227,125,4,149.71428571428572
7/30/20,7850,227,132,0,147.57142857142858
7/31/20,8094,230,244,3,154.14285714285714
8/1/20,8160,233,66,3,142.71428571428572
8/2/20,8242,234,82,1,135.42857142857142
8/3/20,8310,234,68,0,119.42857142857143
8/4/20,8442,237,132,3,121.28571428571429
8/5/20,8512,239,70,2,113.42857142857143
8/6/20,8612,243,100,4,108.85714285714286
